drones,birds,method,saturation,survived drones,damage,survived drones rate,damage rate,chargers,charger capacity,expected charge rate,given charge rate
8,50,Baseline,100,6,120.8,0.75,0.128922092,3,1,0.12,0.12
8,50,Baseline,80,6,135.6,0.75,0.144717182,3,1,0.12,0.096
8,50,Baseline,60,5,164.6,0.625,0.175667022,3,1,0.12,0.072
8,50,Baseline,50,3,249.4,0.375,0.266168623,3,1,0.12,0.06
8,50,Baseline,70,5,167.6,0.625,0.17886873,3,1,0.12,0.084
8,100,Baseline,100,6,357,0.75,0.381003202,3,1,0.12,0.12
8,100,Baseline,80,6,360.6,0.75,0.384845251,3,1,0.12,0.096
8,100,Baseline,60,5,436.8,0.625,0.466168623,3,1,0.12,0.072
8,100,Baseline,50,3,624,0.375,0.665955176,3,1,0.12,0.06
8,100,Baseline,70,5,444.6,0.625,0.474493063,3,1,0.12,0.084
8,150,Baseline,100,6,569.8,0.75,0.608110993,3,1,0.12,0.12
8,150,Baseline,80,6,562.4,0.75,0.600213447,3,1,0.12,0.096
8,150,Baseline,60,5,629.6,0.625,0.671931697,3,1,0.12,0.072
8,150,Baseline,50,3,884.4,0.375,0.943863394,3,1,0.12,0.06
8,150,Baseline,70,5,661.55,0.625,0.706029883,3,1,0.12,0.084
8,50,ML-Based,100,8,138.4,1,0.147705443,3,1,0.12,0.12
8,50,ML-Based,80,8,149.4,1,0.159445037,3,1,0.12,0.096
8,50,ML-Based,60,8,156.8,1,0.167342583,3,1,0.12,0.072
8,50,ML-Based,50,8,176.6,1,0.188473853,3,1,0.12,0.06
8,50,ML-Based,70,8,155.3,1,0.165741729,3,1,0.12,0.084
8,100,ML-Based,100,8,419,1,0.447171825,3,1,0.12,0.12
8,100,ML-Based,80,8,463.6,1,0.494770544,3,1,0.12,0.096
8,100,ML-Based,60,8,426.2,1,0.454855923,3,1,0.12,0.072
8,100,ML-Based,50,8,533.4,1,0.569263607,3,1,0.12,0.06
8,100,ML-Based,70,8,460.55,1,0.491515475,3,1,0.12,0.084
8,150,ML-Based,100,8,680.2,1,0.725933831,3,1,0.12,0.12
8,150,ML-Based,80,8,736.2,1,0.785699039,3,1,0.12,0.096
