Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Run
6,288,0.5,0.3073639274279616,1,1,1
6,298,0.5,0.31803628601921025,1,1,2
6,263,0.5,0.28068303094983993,1,1,3
6,322,0.5,0.343649946638207,1,1,4
6,290,0.5,0.3094983991462113,1,1,5
9,235,0.75,0.2508004268943437,1,2,1
9,262,0.75,0.27961579509071505,1,2,2
9,289,0.75,0.3084311632870864,1,2,3
9,238,0.75,0.25400213447171827,1,2,4
9,315,0.75,0.33617929562433296,1,2,5
10,399,0.8333333333333334,0.4258271077908218,1,3,1
10,452,0.8333333333333334,0.4823906083244397,1,3,2
11,350,0.9166666666666666,0.37353255069370334,1,3,3
11,366,0.9166666666666666,0.39060832443970117,1,3,4
10,372,0.8333333333333334,0.39701173959445035,1,3,5
10,258,0.8333333333333334,0.2753468516542156,1,4,1
10,346,0.8333333333333334,0.36926360725720386,1,4,2
10,259,0.8333333333333334,0.27641408751334046,1,4,3
10,268,0.8333333333333334,0.28601921024546423,1,4,4
10,352,0.8333333333333334,0.37566702241195304,1,4,5
