target,prediction
65,1.0018542
117,1.0192821
35,0.98643833
68,0.9917366
32,0.99261487
60,0.98993516
3,1.0262777
24,1.0872855
127,1.2556876
82,1.0175782
63,0.978957
146,1.1293023
126,0.993852
104,0.9873754
100,0.9863879
69,1.008437
46,1.0079664
85,0.98949075
29,0.98476535
97,1.007345
67,1.0056019
115,1.2359774
88,1.027448
36,1.0244976
123,1.2096626
86,0.97697043
32,0.98562914
84,0.9900104
59,1.0260414
9,0.99539995
122,0.9787802
39,0.95304453
98,1.0704451
83,1.0274764
39,0.9814483
58,0.9792247
127,1.1104485
81,1.0051734
118,1.1307058
14,1.0104312
66,1.0158777
113,1.0397009
30,0.9850684
109,1.167822
30,0.9808301
65,0.991362
8,1.0872765
8,1.0178548
84,1.0053595
12,1.0010377
35,1.088219
124,1.0060229
82,0.9778092
59,1.0260414
3,1.1017119
113,1.0397009
65,0.9740966
59,0.97432053
16,1.0260633
87,1.2055265
41,0.99020314
87,1.2055265
30,1.0047551
47,1.0261099
57,0.9805397
34,1.0125996
84,1.1563001
1,1.0920703
80,1.1546679
0,1.0399735
3,0.9779749
93,0.9842392
126,0.9779885
29,1.0102785
28,1.043907
105,1.0194192
63,0.9773962
34,0.9861712
116,1.0193001
120,1.0054215
68,0.97997874
115,0.9796266
99,1.1257166
79,0.9782552
82,1.0160238
71,0.99076086
6,0.98317426
27,0.9838683
66,0.99129814
124,1.0051743
133,1.0044007
77,0.98711216
114,0.97971743
75,0.9778405
55,1.0088987
28,0.9789346
31,1.0670387
11,0.9820178
137,1.0035499
85,1.0273769
27,1.0843763
38,0.978109
39,0.9807054
5,0.98169327
95,1.0281488
56,0.9775692
21,0.9838546
25,0.9836385
18,0.9860827
2,1.1034538
17,0.98088884
24,0.9825665
52,0.9776498
56,1.0088358
8,0.9813294
50,0.9776795
46,0.99199283
105,1.1939448
104,1.1442968
24,1.0708758
14,0.9877886
3,1.0262777
116,1.0056708
12,0.9818327
8,1.0833323
53,1.0249679
73,1.0083802
39,0.97622234
10,0.9948654
46,0.9755477
66,0.97724956
80,1.0180463
126,1.200276
75,0.9913398
117,1.2289363
68,0.9917366
67,1.0017595
87,1.1586521
107,1.1950763
7,1.0842046
97,1.0037495
70,0.97697234
20,1.0184801
100,0.98741835
87,0.97506213
15,0.98140097
99,1.1257166
8,0.9813294
17,1.0259894
95,0.9839264
106,1.0008372
70,0.9870498
91,1.0050622
2,0.9831003
17,0.97956824
42,0.9900493
4,0.9779197
