target,prediction
111,103.186005
110,108.67245
91,79.171005
9,13.176331
71,70.141624
77,76.29814
102,100.253815
64,60.95056
62,49.555717
85,80.459885
29,15.521951
56,44.522503
43,42.397114
52,53.1006
102,99.076416
86,85.1544
4,3.911064
81,80.206604
98,98.863106
97,93.318634
57,57.320694
23,20.839365
30,27.646536
36,45.38034
49,48.31637
104,105.61864
16,14.6494
2,4.0568323
112,117.13522
72,69.626976
117,119.01183
39,47.876747
4,6.2962976
100,100.93186
79,77.792305
143,115.90229
73,71.12579
44,45.88793
0,2.5770385
42,50.510517
80,81.816154
41,38.80199
96,93.652115
98,105.520676
66,66.84209
85,83.66528
79,77.58648
105,122.33791
134,121.084335
86,83.69193
87,84.73623
37,36.005135
6,9.74678
47,44.749893
115,127.13477
47,43.54501
4,5.0369453
5,14.276892
29,30.386534
100,99.176674
14,12.109052
1,2.2205548
52,51.45402
141,127.06199
70,67.70409
123,110.5153
3,12.975119
23,22.915522
10,8.376723
101,89.25466
47,48.303505
70,68.04041
24,23.973694
11,14.556105
90,89.20425
49,48.169903
136,121.72135
59,67.55407
76,70.6873
65,74.012146
72,72.617805
63,62.56068
83,81.00916
61,58.93657
28,14.7984705
37,40.16474
35,34.306572
94,93.6912
6,7.66432
128,112.477585
43,41.542828
75,72.82315
113,91.35721
35,30.929436
98,105.520676
130,116.36674
97,96.16902
92,90.50145
93,81.111664
27,22.016487
39,41.720627
0,0.2513514
6,6.030505
53,53.27269
28,27.287296
87,87.04501
62,61.57262
83,82.23282
141,127.13477
31,27.321507
7,11.938637
61,58.93657
20,22.38129
74,72.02507
98,97.02825
38,36.289474
117,112.44091
86,91.01636
78,78.32154
101,92.500854
80,78.27095
85,72.79281
35,37.0739
89,86.97672
31,17.079098
95,103.331604
85,84.31022
49,49.67614
23,19.853317
87,86.423
53,49.21987
38,39.125755
23,19.346195
90,93.88439
10,13.848698
67,62.989147
21,22.011166
94,91.54948
0,1.870818
0,4.7210193
39,37.643238
18,15.524764
9,7.8956
65,63.357464
61,60.18224
47,44.98121
69,78.09171
51,52.770653
56,55.909725
25,24.700302
52,48.222137
105,103.7159
97,97.095825
109,107.941826
44,42.676495
52,49.103516
133,126.6483
95,94.16901
11,14.556105
107,110.08953
126,122.9841
131,124.22287
21,17.349476
33,32.479843
8,8.150415
11,9.210772
90,88.16162
75,75.655815
67,66.80815
21,20.03322
28,25.361923
123,127.99756
10,8.722508
47,46.189903
19,15.500634
92,91.3949
66,65.69597
124,113.358734
9,7.074552
101,99.122635
4,7.3163614
8,7.2215962
111,97.8672
71,71.62361
112,117.197014
54,54.135086
9,11.646066
118,125.62707
76,63.62485
62,49.555717
118,107.01569
113,119.98438
99,96.89703
100,91.79369
84,93.390434
97,110.13253
50,37.178913
82,80.74041
33,33.236282
36,37.33201
48,45.77678
36,36.99068
30,28.147373
52,49.103516
58,56.19743
84,81.64188
24,25.868795
97,93.19332
49,51.026756
42,41.944633
68,65.84061
65,61.39873
51,46.535145
11,7.8753724
8,6.705655
16,10.645914
93,99.34901
40,39.04002
89,88.01322
14,14.291127
79,76.6436
24,27.18709
58,55.00407
55,53.54169
22,18.265919
140,127.25741
134,129.00145
68,67.57372
52,52.42403
23,31.264505
76,75.33291
47,46.1379
91,89.10217
24,23.585
122,126.426315
36,38.931007
14,11.576771
11,8.767459
99,96.86082
48,50.17813
30,31.252193
38,35.249897
16,13.387603
56,64.59007
57,58.369663
110,107.02958
69,64.581055
67,66.62825
6,6.6625876
140,127.25741
3,4.414522
101,102.1923
5,6.394541
98,97.985245
57,56.794292
93,104.44879
74,82.92391
83,84.27983
100,96.679886
96,93.652115
28,29.905415
25,23.233385
75,74.37988
43,44.010853
53,49.21987
72,59.240303
49,46.58642
106,104.596664
79,79.845314
53,52.20119
25,22.483152
91,89.310905
38,40.439102
1,8.961802
18,11.226301
41,38.80199
75,72.93568
1,5.3639836
84,81.64188
2,5.6522074
8,12.537321
16,14.114956
109,100.65541
85,82.43316
10,9.956968
31,32.142513
123,110.5153
93,90.51578
7,10.34225
95,93.56262
84,80.684944
64,60.036663
24,32.32707
123,112.38913
119,121.92548
75,71.18826
90,87.44989
0,2.4732347
93,92.53593
44,44.120975
77,85.965546
1,6.639814
37,38.11505
5,4.894308
10,8.376723
45,45.500008
16,12.848602
83,81.58171
33,30.315004
34,35.90139
41,38.80199
28,22.297644
106,108.732155
70,67.70409
70,68.09212
113,105.369484
112,122.33937
114,122.33937
52,49.093685
71,66.848976
106,102.69642
45,42.273823
101,89.25466
65,65.13579
25,26.82376
64,60.036663
109,102.18777
26,24.531109
21,18.688528
97,110.13253
40,42.854027
1,8.961802
110,105.33221
34,35.15679
39,38.56561
81,81.76105
86,85.1544
110,121.29359
12,11.789536
9,7.6767135
110,108.234116
25,25.728249
54,52.636604
28,25.16611
40,42.52104
74,73.43891
32,32.343845
74,71.54606
11,9.129136
96,108.65125
65,63.357464
76,70.727394
143,124.5846
44,41.12291
95,94.16901
126,105.623825
83,81.4802
1,7.2529097
41,39.41375
106,100.37837
6,4.706641
108,102.84893
105,107.39147
33,28.151932
120,102.68692
8,12.537321
1,11.794071
85,86.58535
67,67.77237
102,111.339806
9,8.918142
66,65.289986
89,88.101654
91,101.78597
18,17.769403
19,20.762575
28,29.544853
66,62.45201
44,46.971844
23,16.498022
94,91.54948
60,58.985603
92,90.50145
33,35.078114
135,120.04997
96,95.227585
93,104.44879
0,4.7210193
78,77.55083
106,100.37837
40,39.289284
78,79.753494
106,107.23356
45,47.75358
69,68.394844
0,12.615009
37,39.326527
94,105.83073
103,104.75944
53,49.972652
81,77.47838
134,121.084335
102,111.339806
73,70.98139
33,32.479843
27,35.73641
24,21.85153
71,69.16985
106,94.65558
111,115.690926
69,67.4365
42,45.446507
27,24.038437
3,2.642063
65,64.77674
86,85.1544
0,2.22906
101,97.8708
24,24.965199
14,11.90355
28,27.322834
103,101.82933
63,63.134537
15,17.766016
121,116.39482
150,124.5846
53,52.338833
40,40.564064
7,7.36623
94,92.24859
64,60.036663
53,52.94089
91,90.796326
29,22.599203
81,79.56798
58,52.611763
45,45.15008
149,125.62707
114,109.165375
10,8.322601
89,99.23382
119,114.42735
33,33.424057
84,81.64188
139,119.98438
93,88.30593
101,98.110214
69,67.844696
64,62.347633
113,117.084404
49,49.0119
97,94.65883
104,102.60489
88,83.47006
44,44.075912
83,78.5137
66,65.30014
