epoch,train_loss,val_loss
1,-117.43376159667969,-121.70283508300781
2,-119.61365509033203,-121.90777587890625
3,-119.87967681884766,-121.3217544555664
4,-119.94102478027344,-122.1177978515625
5,-120.18311309814453,-122.20986938476562
6,-120.26947021484375,-122.49881744384766
7,-120.46558380126953,-122.09046173095703
8,-120.51110076904297,-122.5361099243164
9,-120.56291961669922,-122.56331634521484
10,-120.73883056640625,-122.65298461914062
11,-120.77252960205078,-122.60975646972656
12,-120.8912582397461,-122.72378540039062
13,-120.98993682861328,-122.71351623535156
14,-120.89895629882812,-122.51446533203125
15,-120.94792175292969,-122.83856964111328
16,-121.09529113769531,-123.03895568847656
17,-121.21739959716797,-122.79360961914062
18,-121.09814453125,-122.88150024414062
19,-121.24114227294922,-123.13495635986328
20,-121.16923522949219,-123.0587158203125
21,-121.39418029785156,-123.20147705078125
22,-121.45179748535156,-122.07840728759766
23,-121.28101348876953,-122.89860534667969
24,-121.34573364257812,-123.41999053955078
25,-121.6179428100586,-123.30951690673828
26,-121.6375503540039,-123.22745513916016
27,-121.71955871582031,-122.94747924804688
28,-121.64179992675781,-123.2054214477539
29,-121.74872589111328,-123.51478576660156
30,-121.63829803466797,-123.41909790039062
31,-121.77764892578125,-123.51799774169922
32,-121.89440155029297,-123.46729278564453
33,-121.9056396484375,-123.4327163696289
34,-121.75953674316406,-123.7057876586914
35,-122.14505004882812,-123.74655151367188
36,-122.17862701416016,-123.5633316040039
37,-122.09896850585938,-123.87189483642578
38,-122.08904266357422,-122.64453125
39,-121.93828582763672,-123.8467788696289
40,-122.3896484375,-123.92285919189453
41,-122.39323425292969,-124.01737976074219
42,-122.39665985107422,-123.81895446777344
43,-122.45333099365234,-123.82176208496094
44,-122.50194549560547,-123.89443969726562
45,-122.50636291503906,-123.91597747802734
46,-122.3763656616211,-123.75492095947266
47,-122.6191635131836,-124.05906677246094
48,-122.67282104492188,-122.64585876464844
49,-122.40768432617188,-124.03726959228516
50,-122.82964324951172,-124.29461669921875
