target,prediction
54,47.594486
43,37.3871
7,24.484598
58,39.199825
47,69.88916
44,25.121572
22,18.59079
65,40.50858
50,32.442856
69,45.86694
4,43.17469
42,30.80623
54,33.444103
45,31.660347
59,52.720238
14,31.331902
29,65.129166
30,10.958043
36,12.020781
8,20.36357
67,38.775135
62,35.105556
0,13.555824
25,57.22148
13,20.36002
29,45.208344
27,29.07261
56,35.96059
81,51.27794
6,51.928646
40,31.214527
50,65.129166
11,20.010456
11,34.501728
42,41.33746
116,24.370054
42,24.133148
13,64.58201
102,36.28193
64,29.779522
31,28.645256
48,39.996693
15,31.05725
24,27.10589
83,35.977985
10,41.27079
25,52.133915
12,50.182175
83,50.621975
19,29.76209
0,8.263133
68,44.402325
43,47.209164
6,36.937397
71,32.614326
67,37.359753
53,35.386208
41,36.342453
45,41.622227
100,62.933006
12,49.47794
8,60.58962
14,18.495205
70,39.779778
40,30.122688
37,32.683655
82,61.062733
9,14.207608
43,35.774326
27,46.344086
5,19.890415
17,33.150192
84,64.41498
33,43.55121
21,13.858746
39,55.056473
63,36.784817
27,22.891478
10,26.302458
14,46.132355
80,49.77824
2,22.599731
17,55.001
80,47.681656
61,53.697643
50,25.546314
62,28.944336
120,27.230196
0,11.817445
11,18.263357
2,30.754978
1,27.82015
18,31.339529
31,26.005566
49,43.386166
29,13.627384
83,37.975716
36,11.742367
50,46.472443
33,32.85144
35,85.83562
30,33.760223
9,19.521597
44,30.625334
41,37.310787
0,30.473072
55,34.362484
56,22.141165
9,16.752848
47,46.954678
8,36.27507
0,2.301986
100,40.543846
12,34.371284
81,35.652462
0,11.796679
29,29.11931
33,31.834953
21,36.7126
106,48.00453
2,36.151775
84,22.222504
48,44.847717
59,32.878925
59,22.913324
76,23.946062
21,20.053005
54,57.918243
2,10.026076
88,18.585325
3,14.703184
17,56.251854
25,21.260647
62,33.716785
58,46.400524
18,41.800655
89,36.057777
8,25.193111
106,59.173534
0,16.008028
15,27.694016
19,47.40364
40,37.45121
43,26.01001
5,38.79953
56,35.24882
63,24.471766
35,35.92997
10,20.102774
28,21.6921
13,17.698736
6,9.658821
4,19.050385
87,53.71525
9,43.977654
55,31.22392
31,23.297604
29,23.538368
4,39.753647
9,35.279694
31,15.129536
63,29.726456
51,48.028114
30,24.641811
37,11.783857
67,49.629272
0,9.687315
66,30.527567
45,16.381834
4,36.329693
10,32.253963
70,38.281456
13,30.824451
8,44.772614
34,26.684093
8,40.845966
44,56.8129
43,41.98996
5,7.7178545
26,31.164959
10,29.653906
70,27.765318
10,18.398289
54,57.66601
7,40.900208
60,47.26347
7,28.525036
51,17.062727
34,14.986724
137,19.458706
0,18.287304
60,44.10501
78,46.869427
16,32.72015
93,40.399723
14,27.160488
70,32.004875
1,23.803587
0,6.685409
75,43.275326
50,36.79957
63,28.098125
49,35.736492
13,20.55893
55,33.656685
80,63.13204
23,13.534833
11,14.195357
23,32.881985
10,33.267857
41,31.807913
7,32.130783
63,47.337357
63,51.349472
10,28.795311
16,41.467648
1,30.763498
1,20.101696
73,27.124619
69,66.74329
64,31.042398
33,39.14268
58,24.35519
32,31.082012
42,37.125366
13,22.44776
62,17.018435
60,24.962276
10,14.88645
7,22.748177
44,31.117529
21,43.313694
46,17.020285
24,20.341908
9,18.083776
96,40.00623
46,31.634481
74,47.276127
41,15.646989
55,25.089233
30,28.361408
2,29.7491
18,42.908497
14,17.608852
79,49.28295
14,23.63507
13,39.305904
24,40.794476
21,60.750294
8,14.266711
1,48.17964
17,49.714657
7,40.996197
85,47.00991
48,22.191113
82,59.539436
9,52.277935
85,33.108505
10,21.345692
62,28.108913
31,43.461693
13,15.848115
45,63.63969
85,22.984081
65,30.276678
74,59.28331
52,13.971745
27,28.622755
2,51.660995
16,40.183804
23,21.806812
8,35.63675
99,40.337654
34,30.925564
81,35.495045
17,18.097467
32,31.227211
41,27.035456
78,48.79266
5,37.280064
66,55.275066
68,30.839594
28,10.608244
23,27.066547
24,45.83268
33,36.64959
82,40.97932
41,32.500114
43,25.133453
20,29.641203
74,34.285755
63,29.648392
36,43.474884
18,25.141802
49,22.442215
31,21.31314
19,40.273193
14,23.955484
14,19.956385
38,32.899338
