target,prediction
54,66.56835
43,56.407455
7,13.668918
58,50.940914
47,68.05589
44,36.56257
22,11.339138
65,48.38255
50,40.580837
69,80.28987
4,35.825706
42,33.88179
54,44.348145
45,40.817795
59,80.51991
14,51.284065
29,41.594242
30,26.573566
36,39.02014
8,13.952484
67,49.187447
62,53.84655
0,10.47618
25,28.678146
13,17.197733
29,47.759727
27,31.615406
56,41.23542
81,71.64216
6,17.73825
40,40.2262
50,41.594242
11,12.449054
11,23.785019
42,45.667007
116,81.98694
42,34.795856
13,35.33002
102,79.14753
64,46.931667
31,28.602795
48,48.090736
15,26.098013
24,32.14016
83,68.22029
10,34.141193
25,31.96936
12,35.638252
83,68.75188
19,30.43763
0,6.1683636
68,59.124966
43,55.74295
6,44.38655
71,66.06846
67,65.734825
53,49.4665
41,45.23371
45,44.257927
100,52.95768
12,35.047985
8,29.665949
14,31.557674
70,63.3966
40,40.584435
37,37.107113
82,75.20047
9,10.649021
43,34.608055
27,48.681297
5,10.496904
17,50.969402
84,75.92328
33,64.2731
21,20.273256
39,53.899662
63,52.923073
27,18.292982
10,28.19687
14,31.456114
80,74.63277
2,9.987291
17,34.80916
80,79.32
61,75.4428
50,32.41819
62,48.637188
120,61.53203
0,17.830702
11,19.703436
2,34.844547
1,18.774496
18,48.84435
31,29.264395
49,49.204327
29,27.626255
83,59.730927
36,51.72278
50,69.85281
33,30.667837
35,49.75029
30,44.33071
9,9.228612
44,53.6631
41,55.37851
0,20.11994
55,40.935844
56,53.849953
9,10.783166
47,70.43475
8,7.6209183
0,0.39460063
100,66.168846
12,31.400942
81,38.967632
0,4.66231
29,32.10686
33,32.635414
21,27.52819
106,96.69289
2,27.807955
84,72.718636
48,50.4263
59,31.263342
59,54.06494
76,55.089928
21,19.428324
54,56.135456
2,3.0083523
88,61.59159
3,4.7055106
17,45.293865
25,29.953367
62,60.737114
58,59.334103
18,29.15848
89,41.54049
8,8.086526
106,122.335754
0,10.061933
15,15.707705
19,26.848667
40,54.829563
43,25.401518
5,39.78593
56,52.74946
63,64.99217
35,49.43484
10,10.95657
28,16.65688
13,51.225372
6,18.219593
4,7.661508
87,72.47815
9,53.64903
55,38.65257
31,23.612654
29,17.48434
4,13.552806
9,19.133078
31,21.63087
63,47.943123
51,47.43313
30,32.355026
37,39.06238
67,54.43547
0,12.431225
66,93.958336
45,23.562372
4,14.919266
10,40.9708
70,65.60744
13,12.372615
8,54.018906
34,23.089716
8,50.32539
44,45.27165
43,84.84219
5,3.9629612
26,26.477377
10,29.971455
70,51.834614
10,18.172651
54,61.289303
7,12.556798
60,58.07236
7,38.67672
51,25.891014
34,33.530228
137,77.32754
0,10.701329
60,78.75562
78,63.11112
16,30.217646
93,53.58456
14,13.580471
70,65.17403
1,10.295371
0,1.7853391
75,73.12561
50,44.279247
63,38.24576
49,51.33614
13,12.882602
55,44.768707
80,65.650536
23,19.03022
11,26.78661
23,28.230644
10,12.349362
41,43.00028
7,23.204517
63,68.68408
63,45.947342
10,20.88453
16,21.47196
1,34.832413
1,6.513888
73,53.90637
69,66.90704
64,74.3093
33,39.11133
58,38.758343
32,32.999878
42,66.6714
13,22.56218
62,34.416573
60,43.640213
10,9.866924
7,26.131056
44,46.996746
21,30.811071
46,23.230484
24,18.430866
9,10.750165
96,71.16179
46,38.623173
74,75.40277
41,14.669122
55,32.413006
30,40.03202
2,37.614895
18,20.341
14,14.477525
79,73.43009
14,26.530336
13,34.68533
24,55.261703
21,55.88811
8,9.064262
1,24.609097
17,41.72338
7,21.668644
85,74.3473
48,27.449497
82,41.20368
9,37.1032
85,80.67552
10,9.642289
62,70.73771
31,48.2751
13,9.262487
45,30.74766
85,26.051437
65,51.979618
74,72.57079
52,49.613716
27,19.419636
2,36.549965
16,12.115044
23,20.747746
8,38.225204
99,72.77136
34,31.115282
81,46.31776
17,18.3774
32,42.333977
41,24.880678
78,72.00938
5,19.168083
66,54.06176
68,64.8365
28,13.081624
23,15.65288
24,49.78775
33,31.247097
82,68.79139
41,51.46976
43,43.07164
20,23.309849
74,64.41989
63,60.97777
36,49.62585
18,25.73558
49,44.37447
31,17.328175
19,39.371346
14,13.21469
14,11.93716
38,38.06642
15,27.436844
61,58.262135
32,28.584047
25,32.422203
49,35.08611
16,17.362425
69,53.552696
25,17.427416
70,71.05437
51,51.202526
25,43.361534
4,14.066424
31,29.903433
37,27.079218
54,50.62685
25,29.47647
61,44.650364
43,37.666668
20,26.474617
11,15.1474085
64,39.90369
40,25.849628
12,8.7803755
38,29.556105
43,35.32574
1,20.68997
51,38.661114
23,21.573048
29,46.48295
19,34.059616
56,31.898447
84,64.81004
10,11.59459
16,37.791092
18,38.94434
8,39.601986
35,29.783676
52,48.768726
4,45.657024
35,48.780643
28,39.69834
17,10.97109
17,13.293345
11,12.159921
57,54.04998
84,77.14839
22,33.929935
0,1.608023
44,63.569267
62,64.18181
50,75.37488
87,69.347725
29,17.887844
10,24.43254
54,52.779324
1,3.4346552
38,25.291304
16,12.904012
2,15.222796
12,36.27236
61,42.721634
29,71.06264
55,99.27371
40,28.76003
65,65.17356
63,61.145336
9,5.426894
29,83.1989
27,19.793228
94,75.317894
73,43.263885
27,30.35838
5,13.185425
32,47.397133
79,58.467716
40,43.0233
20,36.77764
71,54.524796
29,55.13639
12,29.39422
68,56.499466
1,20.050486
83,67.070206
83,80.53404
6,7.8700323
16,20.341
19,16.645803
60,61.777397
34,62.469734
4,10.785892
13,14.053947
39,47.955894
44,31.621986
61,50.454994
4,35.313934
34,32.08476
12,22.789091
19,15.868967
15,68.08179
62,26.190365
58,63.960186
25,45.293865
45,44.24456
80,58.451355
44,44.883083
6,6.430904
90,66.201004
20,22.182533
49,37.513218
8,21.839619
41,33.19978
15,24.345999
3,13.204227
23,12.956537
52,31.888317
29,60.129803
33,55.27338
54,23.190182
52,48.75029
6,48.786694
49,43.0233
50,52.262707
2,3.727942
56,53.23248
25,38.735294
54,38.357983
38,41.85269
21,21.213022
26,23.358734
15,38.45264
23,46.026726
46,38.98674
78,85.49772
47,48.91641
64,49.924717
59,68.95507
48,35.78033
21,27.339718
29,36.26586
49,37.557247
70,36.27365
16,14.606806
5,45.80441
11,7.5022306
33,30.705933
14,48.353455
7,5.0486703
24,40.23026
0,19.299334
86,71.55234
47,82.14644
75,69.590866
32,61.722157
33,32.62478
72,46.668404
36,32.734234
12,14.328848
38,38.940216
40,31.68337
39,36.989933
50,49.733566
4,9.941445
6,23.888115
42,49.37896
