epoch,train_loss,val_loss
1,-99.42330932617188,-100.73722839355469
2,-101.1180648803711,-101.73204040527344
3,-102.0494613647461,-102.24835968017578
4,-102.55284118652344,-102.56938934326172
5,-102.7138442993164,-102.34504699707031
6,-102.87710571289062,-102.784912109375
7,-103.31472778320312,-103.20746612548828
8,-103.72220611572266,-103.32707214355469
9,-103.8173599243164,-103.32221984863281
10,-103.91378021240234,-103.63330841064453
11,-104.13094329833984,-103.73162078857422
12,-104.27172088623047,-103.93257141113281
13,-104.33661651611328,-103.80123901367188
14,-104.39299774169922,-103.98483276367188
15,-104.48684692382812,-104.10394287109375
16,-104.57217407226562,-104.0770263671875
17,-104.6141357421875,-104.15396118164062
18,-104.69189453125,-104.34451293945312
19,-104.82479858398438,-104.23764038085938
20,-104.9383316040039,-104.28401947021484
21,-104.8681869506836,-104.39906311035156
22,-104.89978790283203,-104.35342407226562
23,-105.0292739868164,-104.55451965332031
24,-105.1253890991211,-104.2944107055664
25,-105.14010620117188,-104.6622314453125
26,-105.2265396118164,-104.64618682861328
27,-105.26978302001953,-104.72903442382812
28,-105.3440170288086,-104.56952667236328
29,-105.12939453125,-104.50394439697266
30,-105.18587493896484,-104.54661560058594
31,-105.27555084228516,-104.77464294433594
32,-105.47732543945312,-104.83033752441406
33,-105.5298843383789,-104.90631103515625
34,-105.60551452636719,-104.90060424804688
35,-105.61566162109375,-104.929443359375
36,-105.6125259399414,-105.02780151367188
37,-105.6481704711914,-104.9252700805664
38,-105.65660858154297,-104.99414825439453
39,-105.68787384033203,-104.92587280273438
40,-105.778564453125,-105.0373306274414
41,-105.79084014892578,-105.1092529296875
42,-105.82090759277344,-105.07803344726562
43,-105.86548614501953,-105.14551544189453
44,-105.8499526977539,-105.09821319580078
45,-105.90179443359375,-105.1811752319336
46,-105.92724609375,-105.22157287597656
47,-105.9336929321289,-105.18684387207031
48,-105.960205078125,-105.1298599243164
49,-105.95179748535156,-105.24279022216797
50,-105.98696899414062,-105.20034790039062
