current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
106,Drone_97,0.4149999999999995,0.79541147,0.2109502310972899,21.12686111897288,Charger_29,3,1,0,0
106,Drone_91,0.38999999999999946,0.760237,0.18439088914585774,18.47086455015161,Charger_30,4,1,0,0
123,Drone_92,0.3199999999999994,0.8144874,0.11401754250991379,11.433514952691775,Charger_28,3,1,0,0
132,Drone_94,0.27499999999999936,0.73835844,0.15,15.035,Charger_30,3,3,0,1
138,Drone_96,0.24999999999999933,0.81564087,0.11401754250991379,11.436314952691776,Charger_29,2,2,0,1
147,Drone_95,0.2099999999999993,0.8224028,0.09219544457292887,9.254832275075804,Charger_28,2,2,0,1
159,Drone_99,0.15999999999999925,0.80116355,0.1264911064067352,12.687770284929787,Charger_30,3,2,0,1
165,Drone_93,0.11499999999999921,0.95228946,0.0806225774829855,8.10088265139787,Charger_29,1,1,0,1
251,Drone_92,0.4149999999999995,0.8747148,0.2109502310972899,21.12686111897288,Charger_29,2,1,0,0
251,Drone_91,0.38999999999999946,0.81314284,0.18439088914585774,18.47086455015161,Charger_30,3,1,0,0
269,Drone_97,0.3199999999999994,0.8225097,0.11401754250991379,11.433514952691775,Charger_28,3,1,0,0
284,Drone_96,0.3549999999999994,0.95590186,0.15,15.0318,Charger_30,2,1,0,1
305,Drone_94,0.28499999999999936,0.87743515,0.0806225774829855,8.09408265139787,Charger_29,2,1,0,0
312,Drone_95,0.2999999999999994,0.81295085,0.09219544457292887,9.251232275075804,Charger_28,3,1,0,0
325,Drone_99,0.3149999999999994,0.8100224,0.10770329614269007,10.802037746114715,Charger_30,3,1,0,0
334,Drone_93,0.23999999999999932,1.0041876,0.09486832980505139,9.52102771369734,Charger_28,1,1,0,1
391,Drone_92,0.4149999999999995,0.81139004,0.2109502310972899,21.12686111897288,Charger_29,3,1,0,0
396,Drone_91,0.38999999999999946,0.8694194,0.18439088914585774,18.47086455015161,Charger_30,2,1,0,0
414,Drone_97,0.3299999999999994,0.9151141,0.2109502310972899,21.13026111897288,Charger_29,2,1,0,1
433,Drone_96,0.3199999999999994,0.8234867,0.11401754250991379,11.433514952691775,Charger_28,3,1,0,0
471,Drone_94,0.28499999999999936,0.81648326,0.0806225774829855,8.09408265139787,Charger_29,3,1,0,0
475,Drone_95,0.2999999999999994,0.8276143,0.09219544457292887,9.251232275075804,Charger_28,3,1,0,0
485,Drone_99,0.3149999999999994,0.8657024,0.10770329614269007,10.802037746114715,Charger_30,2,1,0,0
498,Drone_93,0.2999999999999994,0.97142106,0.09486832980505139,9.51862771369734,Charger_28,2,1,0,1
