current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
107,Drone_7,0.4099999999999995,0.0,0.2109502310972899,21.12706111897288,Charger_2,3,1,0,0
108,Drone_1,0.37999999999999945,0.0,0.18439088914585774,18.47126455015161,Charger_3,5,1,0,0
120,Drone_11,0.3549999999999994,0.0,0.15652475842498528,15.684536832835528,Charger_1,4,1,0,0
134,Drone_4,0.26499999999999935,0.0,0.15,15.0354,Charger_3,4,4,0,1
140,Drone_6,0.23999999999999932,0.0,0.11401754250991379,11.436714952691776,Charger_2,2,2,0,1
148,Drone_2,0.19499999999999929,0.0,0.11401754250991379,11.438514952691776,Charger_1,3,3,0,1
163,Drone_9,0.13999999999999924,0.0,0.1264911064067352,12.688570284929787,Charger_3,4,3,0,1
257,Drone_11,0.4099999999999995,0.0,0.2109502310972899,21.12706111897288,Charger_2,2,1,0,0
257,Drone_1,0.37999999999999945,0.0,0.18439088914585774,18.47126455015161,Charger_3,2,1,0,0
275,Drone_7,0.3099999999999994,0.0,0.11401754250991379,11.433914952691776,Charger_1,2,1,0,0
294,Drone_4,0.3499999999999994,0.0,0.15,15.032,Charger_3,1,1,0,1
308,Drone_6,0.3099999999999994,0.0,0.11401754250991379,11.433914952691776,Charger_2,2,1,0,0
316,Drone_2,0.3099999999999994,0.0,0.11401754250991379,11.433914952691776,Charger_1,2,1,0,0
400,Drone_11,0.4099999999999995,0.0,0.2109502310972899,21.12706111897288,Charger_2,3,1,0,0
406,Drone_1,0.37999999999999945,0.0,0.18439088914585774,18.47126455015161,Charger_3,1,1,0,0
440,Drone_7,0.27999999999999936,0.0,0.0806225774829855,8.094282651397869,Charger_2,2,1,0,1
446,Drone_4,0.3099999999999994,0.0,0.11401754250991379,11.433914952691776,Charger_1,2,1,0,0
471,Drone_6,0.27499999999999936,0.0,0.09219544457292887,9.252232275075805,Charger_1,1,1,0,1
474,Drone_2,0.3099999999999994,0.0,0.11401754250991379,11.433914952691776,Charger_2,3,1,0,0
