epoch,train_loss,val_loss
1,-11.469521522521973,-13.285653114318848
2,-15.660804748535156,-13.70120620727539
3,-15.992064476013184,-14.177648544311523
4,-16.15458869934082,-13.651991844177246
5,-16.273733139038086,-14.43649959564209
6,-16.47113800048828,-14.527655601501465
7,-16.521392822265625,-14.622437477111816
8,-16.587005615234375,-14.632155418395996
9,-16.893077850341797,-14.824875831604004
10,-16.845172882080078,-14.895649909973145
11,-17.025653839111328,-15.103134155273438
12,-17.227148056030273,-15.177536964416504
13,-17.249475479125977,-15.345349311828613
14,-17.516799926757812,-15.547843933105469
15,-17.57741355895996,-13.84544563293457
16,-16.999103546142578,-15.576227188110352
17,-17.682830810546875,-15.672096252441406
18,-17.657316207885742,-14.693643569946289
19,-17.520496368408203,-15.762955665588379
20,-17.73457908630371,-15.850305557250977
21,-17.78714942932129,-16.016891479492188
22,-18.001256942749023,-15.933192253112793
23,-18.11915397644043,-16.185802459716797
24,-18.18109703063965,-16.24277687072754
25,-18.057641983032227,-16.11713981628418
26,-18.27072525024414,-15.05687141418457
27,-17.999704360961914,-16.193405151367188
28,-18.30712890625,-16.35154914855957
29,-18.38485336303711,-16.000076293945312
30,-18.244970321655273,-15.98366641998291
31,-18.500553131103516,-16.23352813720703
32,-18.52906036376953,-16.31802749633789
33,-18.39249610900879,-16.4672794342041
34,-18.646259307861328,-16.619915008544922
35,-18.739633560180664,-16.58700180053711
36,-18.738431930541992,-16.676925659179688
37,-18.7370662689209,-16.740299224853516
38,-18.772790908813477,-16.785005569458008
39,-18.728525161743164,-16.6357421875
40,-18.818004608154297,-16.721506118774414
41,-18.81272315979004,-16.729459762573242
42,-18.79436683654785,-16.710662841796875
43,-18.95976448059082,-16.963132858276367
44,-19.01333999633789,-16.895057678222656
45,-19.016965866088867,-16.867820739746094
46,-19.099353790283203,-16.94667625427246
47,-19.17445945739746,-16.956504821777344
48,-19.16192054748535,-16.71539878845215
49,-19.072248458862305,-16.817399978637695
50,-19.137739181518555,-17.085865020751953
