target,prediction
10,9.079396
11,12.380048
23,22.369793
30,20.905651
2,2.9728365
11,9.764004
10,8.682615
15,14.442638
21,27.111137
32,27.911995
4,9.00281
0,9.047722
3,11.139527
10,8.682615
16,17.772799
14,13.11477
0,1.2820863
16,10.122396
4,3.4903276
1,2.5299847
0,10.86317
0,3.7359574
9,15.593335
1,9.647675
0,0.9099322
21,21.830627
14,10.905918
16,19.977863
3,9.041183
23,22.369793
27,31.639791
9,8.379793
6,4.320378
19,14.007142
9,6.859201
26,22.59214
9,5.776211
13,13.689758
4,4.4461994
8,6.343664
9,5.808052
18,25.207031
11,9.994149
0,3.8311734
28,31.486908
8,5.256418
10,10.207573
26,30.976038
17,10.077436
31,25.355465
4,3.031033
13,12.056348
4,4.4461994
0,3.3079543
0,10.439895
0,6.659281
11,10.386056
9,7.743886
0,3.2634764
8,7.429348
14,19.288548
11,12.380048
12,14.174832
0,6.491457
0,0.5548933
22,23.137892
21,13.5375595
0,8.253819
4,3.5119617
0,3.119649
34,22.855944
4,3.031033
3,2.7882948
16,10.122396
24,29.5586
25,30.28143
13,17.252316
17,17.549208
0,14.447501
0,3.8311734
32,19.716856
0,2.4148088
36,49.259033
25,22.583324
35,37.549477
0,1.2820863
11,9.994149
2,10.359231
6,4.320378
7,9.277178
0,4.3788185
11,14.636377
0,0.50609314
0,3.436889
0,9.907592
30,20.905651
6,9.523793
10,9.079396
14,19.288548
0,9.844922
12,12.434595
17,10.783389
7,14.645712
0,0.52293897
0,6.2842827
12,7.3810096
8,9.649189
19,21.200039
7,5.0779505
4,3.7969735
1,2.2617269
0,0.52293897
11,6.799239
5,9.3601265
33,21.244047
16,19.977863
6,4.8185234
28,31.486908
32,19.716856
8,6.1051626
5,4.2735395
35,37.549477
1,3.3049967
6,4.320378
2,3.6410122
18,21.67948
0,2.853896
14,12.544102
19,14.007142
2,3.0022755
5,4.2735395
2,3.6410122
14,17.422884
0,14.776361
0,7.930158
13,12.056348
8,6.914374
21,27.111137
16,15.778468
13,12.489384
30,23.053698
19,14.007142
14,17.422884
0,4.0958257
34,22.855944
8,5.256418
0,6.491457
0,8.432339
12,14.174832
0,9.907592
19,25.697517
32,27.911995
2,3.0022755
3,11.139527
15,10.764576
1,2.6742597
7,5.4338965
3,3.132517
3,3.132517
3,4.015293
15,14.442638
17,17.549208
0,8.194371
3,3.3798828
17,17.950386
31,18.322943
0,4.0475926
2,3.0022755
0,10.66612
37,28.725075
24,29.5586
23,23.430033
11,6.8360853
37,49.104523
31,18.322943
36,49.369247
8,6.1051626
19,25.697517
7,6.171587
3,4.015293
0,6.659281
0,0.53400195
12,12.434595
13,12.489384
3,3.1519325
8,16.752651
13,12.056348
4,3.7969735
0,10.86317
18,25.207031
1,2.2617269
0,2.4617198
0,0.8901496
0,9.649508
4,3.9176052
21,27.111137
14,13.11477
12,17.084684
8,6.1051626
12,14.174832
0,2.3827326
24,22.528944
9,8.379793
22,22.106743
37,28.725075
14,17.422884
0,6.659281
13,19.146255
1,2.591114
9,6.3842697
7,4.7905917
