Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Run,Charge Alert,Battery Random Reduction
8,100,0.5,0.10672358591248667,2,1,1,0.2,0
8,107,0.5,0.11419423692636073,2,1,2,0.2,0
8,106,0.5,0.11312700106723586,2,1,3,0.2,0
8,86,0.5,0.09178228388473852,2,1,4,0.2,0
8,99,0.5,0.1056563500533618,2,1,5,0.2,0
8,91,0.5,0.09711846318036287,2,1,6,0.2,0
8,97,0.5,0.10352187833511206,2,1,7,0.2,0
8,107,0.5,0.11419423692636073,2,1,8,0.2,0
8,91,0.5,0.09711846318036287,2,1,9,0.2,0
8,96,0.5,0.10245464247598719,2,1,10,0.2,0
