current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
102,Drone_349,0.4449999999999995,0.88466346,0.23769728648009428,23.80143653946863,Charger_44,11,1,0,0
105,Drone_337,0.39499999999999946,0.905352,0.18973665961010278,19.00545542739468,Charger_44,10,1,1,0
118,Drone_347,0.36499999999999944,0.9074762,0.15652475842498528,15.684136832835527,Charger_43,5,1,0,0
123,Drone_338,0.3199999999999994,0.9250383,0.11401754250991379,11.433514952691775,Charger_43,4,1,1,0
125,Drone_342,0.3149999999999994,0.7082393,0.11401754250991379,11.433714952691776,Charger_44,9,8,1,1
127,Drone_348,0.3199999999999994,0.6548353,0.2012461179749811,20.15986164221711,Charger_44,8,7,1,2
135,Drone_341,0.26999999999999935,0.8431168,0.09219544457292887,9.252432275075805,Charger_43,3,3,1,1
144,Drone_350,0.24999999999999933,0.84808445,0.1414213562373095,14.177792477980443,Charger_43,2,2,1,2
159,Drone_351,0.17499999999999927,0.725787,0.15,15.039,Charger_44,8,3,0,2
268,Drone_337,0.3199999999999994,0.94000936,0.11401754250991379,11.433514952691775,Charger_43,3,1,0,0
276,Drone_349,0.2999999999999994,0.9643484,0.09219544457292887,9.251232275075804,Charger_43,2,1,1,0
282,Drone_342,0.39499999999999946,0.9470598,0.18973665961010278,19.00545542739468,Charger_44,5,1,0,0
283,Drone_347,0.3199999999999994,0.9048375,0.11401754250991379,11.433514952691775,Charger_44,5,3,1,0
290,Drone_338,0.3149999999999994,0.9139575,0.11401754250991379,11.433714952691776,Charger_43,1,1,0,2
296,Drone_348,0.3449999999999994,0.8645775,0.2012461179749811,20.158861642217108,Charger_44,3,2,1,1
302,Drone_350,0.3449999999999994,0.8865289,0.2109502310972899,21.12966111897288,Charger_44,2,1,1,2
333,Drone_341,0.2199999999999993,0.85945433,0.0806225774829855,8.096682651397868,Charger_44,3,1,0,2
393,Drone_349,0.4449999999999995,0.94965833,0.23769728648009428,23.80143653946863,Charger_44,5,1,0,0
423,Drone_347,0.38499999999999945,0.950899,0.18027756377319945,18.059567479870875,Charger_44,4,1,0,1
427,Drone_337,0.3199999999999994,0.94028777,0.11401754250991379,11.433514952691775,Charger_43,3,1,0,0
444,Drone_350,0.4199999999999995,0.9494582,0.2109502310972899,21.12666111897288,Charger_44,4,1,0,1
447,Drone_338,0.3199999999999994,0.9170748,0.11401754250991379,11.433514952691775,Charger_44,3,1,1,1
451,Drone_342,0.28499999999999936,0.8955554,0.09219544457292887,9.251832275075804,Charger_43,2,1,0,1
476,Drone_348,0.28499999999999936,0.9318462,0.0806225774829855,8.09408265139787,Charger_44,3,1,0,2
489,Drone_341,0.2999999999999994,0.95090383,0.09219544457292887,9.251232275075804,Charger_43,3,1,0,0
