Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Run,Charge Alert,Battery Random Reduction
7,108,0.35,0.1152614727854856,2,1,1,0.2,0
6,169,0.3,0.18036286019210246,2,1,2,0.2,0
7,134,0.35,0.14300960512273211,2,1,3,0.2,0
7,155,0.35,0.16542155816435433,2,1,4,0.2,0
7,96,0.35,0.10245464247598719,2,1,5,0.2,0
7,160,0.35,0.17075773745997866,2,2,1,0.2,0
7,112,0.35,0.11953041622198506,2,2,2,0.2,0
6,169,0.3,0.18036286019210246,2,2,3,0.2,0
7,153,0.35,0.1632870864461046,2,2,4,0.2,0
7,134,0.35,0.14300960512273211,2,2,5,0.2,0
7,108,0.35,0.1152614727854856,2,3,1,0.2,0
7,104,0.35,0.11099252934898612,2,3,2,0.2,0
7,91,0.35,0.09711846318036287,2,3,3,0.2,0
7,140,0.35,0.14941302027748132,2,3,4,0.2,0
7,92,0.35,0.09818569903948772,2,3,5,0.2,0
7,110,0.35,0.11739594450373532,2,4,1,0.2,0
6,173,0.3,0.18463180362860193,2,4,2,0.2,0
7,100,0.35,0.10672358591248667,2,4,3,0.2,0
7,137,0.35,0.14621131270010673,2,4,4,0.2,0
6,139,0.3,0.14834578441835647,2,4,5,0.2,0
7,133,0.35,0.14194236926360726,2,5,1,0.2,0
7,121,0.35,0.12913553895410887,2,5,2,0.2,0
7,166,0.35,0.17716115261472787,2,5,3,0.2,0
7,122,0.35,0.13020277481323372,2,5,4,0.2,0
7,100,0.35,0.10672358591248667,2,5,5,0.2,0
7,154,0.35,0.16435432230522945,2,6,1,0.2,0
6,144,0.3,0.1536819637139808,2,6,2,0.2,0
7,125,0.35,0.13340448239060831,2,6,3,0.2,0
6,155,0.3,0.16542155816435433,2,6,4,0.2,0
7,128,0.35,0.13660618996798293,2,6,5,0.2,0
7,123,0.35,0.13127001067235858,2,7,1,0.2,0
7,101,0.35,0.10779082177161152,2,7,2,0.2,0
6,157,0.3,0.16755602988260407,2,7,3,0.2,0
7,103,0.35,0.10992529348986126,2,7,4,0.2,0
7,132,0.35,0.14087513340448238,2,7,5,0.2,0
7,125,0.35,0.13340448239060831,2,8,1,0.2,0
7,118,0.35,0.12593383137673425,2,8,2,0.2,0
7,158,0.35,0.16862326574172892,2,8,3,0.2,0
7,120,0.35,0.128068303094984,2,8,4,0.2,0
7,136,0.35,0.14514407684098185,2,8,5,0.2,0
7,101,0.35,0.10779082177161152,2,9,1,0.2,0
6,152,0.3,0.1622198505869797,2,9,2,0.2,0
7,141,0.35,0.15048025613660618,2,9,3,0.2,0
7,139,0.35,0.14834578441835647,2,9,4,0.2,0
7,110,0.35,0.11739594450373532,2,9,5,0.2,0
7,123,0.35,0.13127001067235858,2,10,1,0.2,0
6,173,0.3,0.18463180362860193,2,10,2,0.2,0
6,168,0.3,0.17929562433297758,2,10,3,0.2,0
7,114,0.35,0.12166488794023479,2,10,4,0.2,0
7,140,0.35,0.14941302027748132,2,10,5,0.2,0
6,150,0.3,0.16008537886872998,2,11,1,0.2,0
7,124,0.35,0.13233724653148346,2,11,2,0.2,0
7,115,0.35,0.12273212379935966,2,11,3,0.2,0
7,101,0.35,0.10779082177161152,2,11,4,0.2,0
7,112,0.35,0.11953041622198506,2,11,5,0.2,0
