Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
12.0,62.6,0.6,0.06680896478121665,2.0,2.0,3.0,0.2,0.0
12.0,75.4,0.6,0.08046958377801494,2.0,3.0,3.0,0.2,0.0
12.0,64.0,0.6,0.06830309498399145,2.0,4.0,3.0,0.2,0.0
12.0,50.2,0.6,0.0535752401280683,2.0,5.0,3.0,0.2,0.0
12.0,60.2,0.6,0.06424759871931697,2.0,6.0,3.0,0.2,0.0
12.0,70.0,0.6,0.07470651013874066,2.0,7.0,3.0,0.2,0.0
12.0,56.4,0.6,0.060192102454642474,2.0,8.0,3.0,0.2,0.0
12.0,65.6,0.6,0.07001067235859125,2.0,9.0,3.0,0.2,0.0
12.0,65.4,0.6,0.06979722518676627,2.0,10.0,3.0,0.2,0.0
12.0,63.8,0.6,0.06808964781216649,2.0,11.0,3.0,0.2,0.0
