target,prediction
9,6.1646276
0,0.0011581852
3,3.2018292
5,5.752257
0,0.019488359
0,0.22143967
5,6.9054046
0,0.010322921
4,5.1293364
3,3.1136372
9,8.587355
1,1.5866194
4,5.9662395
0,2.1097934
14,10.799135
0,2.8233366e-05
0,0.09609771
0,0.111646794
0,0.010300543
0,0.4664263
3,3.6097314
18,8.324104
0,0.018805446
0,2.3153377
0,0.015933342
0,0.015762454
9,6.1453
0,0.09408917
0,0.3449187
0,0.021831293
5,0.91120994
10,11.1933155
0,0.07466551
3,5.920755
0,0.0029805482
0,0.022659985
12,10.406359
0,4.813981
2,3.3663647
19,8.161938
3,3.1884315
17,11.195724
0,1.0105087
15,16.00873
0,0.033964276
15,10.668144
15,11.118364
0,0.8489649
0,0.006530119
0,0.01916897
0,0.029420791
8,8.720676
0,0.5006005
1,1.6812712
13,5.882143
8,6.7361455
4,3.3287914
1,1.5112267
11,8.696526
0,0.8651903
14,5.44643
0,0.4204804
6,3.5809627
0,0.04381104
0,2.8599838e-05
0,0.22975604
9,12.788558
3,2.5980985
3,2.1019404
1,6.0288754
0,1.3723005
1,2.1901743
0,0.045667198
2,3.074015
9,10.813331
0,0.02162182
11,10.5400915
3,1.3186256
6,9.896114
0,0.0130792465
3,4.2531075
4,2.8934152
1,0.924071
6,4.8181067
7,6.101534
1,1.5112267
14,8.486022
3,1.5343206
4,5.1293364
16,14.051763
0,0.27132428
2,4.175185
4,1.4871051
0,0.048301496
0,0.4282384
0,0.0869701
8,10.953875
0,0.4657838
13,8.346901
6,5.8602753
0,1.075723
2,1.7497283
0,0.81316286
10,5.731081
0,0.03259831
11,11.172895
20,7.2710114
0,0.13485147
2,3.7790432
1,3.8352137
9,8.680277
5,3.133113
0,0.013058171
0,1.3765068
12,11.796892
10,12.251295
2,1.2026393
19,8.161938
0,0.010606634
5,5.8413987
0,1.7457724
1,3.373117
0,0.2997796
4,2.9228196
0,4.749613
4,3.2342818
0,0.13186117
3,4.521176
5,2.747257
0,0.0013804177
0,0.025088256
7,11.652918
0,0.013850239
0,0.020528777
0,0.024595229
7,9.778102
0,4.7427897
2,1.7516863
0,0.13248311
0,0.015504115
10,6.169682
5,3.133113
6,3.8404274
0,0.01098515
4,4.7734466
0,4.2054195
10,11.0256195
0,0.048301496
0,2.5697446
11,6.12853
0,1.9073149
18,15.4654
0,2.1097934
0,0.085265175
8,6.333191
5,5.752257
1,5.830626
0,0.014462627
16,16.102058
4,3.7339182
5,3.8491294
3,3.0963433
1,3.4210029
0,0.012833067
0,0.07280952
0,0.0147335585
0,0.4829946
1,1.4302438
5,6.1080823
0,0.06457586
0,4.556648
18,15.064009
0,0.020528777
0,0.021273402
16,9.048105
1,3.4210029
