epoch,train_loss,val_loss
1,-11.325499534606934,-13.9027681350708
2,-12.832694053649902,-14.184494018554688
3,-13.014277458190918,-14.421010971069336
4,-13.457724571228027,-14.44186019897461
5,-13.760701179504395,-14.821686744689941
6,-14.059930801391602,-14.850052833557129
7,-14.090659141540527,-15.268027305603027
8,-14.511941909790039,-15.10436725616455
9,-14.603128433227539,-15.462052345275879
10,-14.782110214233398,-15.540942192077637
11,-14.867122650146484,-15.630970001220703
12,-15.040088653564453,-15.710287094116211
13,-15.001882553100586,-15.726364135742188
14,-15.207803726196289,-15.733614921569824
15,-15.165431022644043,-15.782269477844238
16,-15.218502044677734,-15.845666885375977
17,-15.326826095581055,-15.798203468322754
18,-15.160713195800781,-15.703516006469727
19,-15.353248596191406,-15.917869567871094
20,-15.437588691711426,-15.954544067382812
21,-15.451744079589844,-15.644917488098145
22,-15.556113243103027,-15.571237564086914
23,-15.395931243896484,-16.01704216003418
24,-15.47218132019043,-16.069107055664062
25,-15.619549751281738,-16.031269073486328
26,-15.754140853881836,-16.106843948364258
27,-15.674962043762207,-16.16963005065918
28,-15.678093910217285,-16.15873146057129
29,-15.76626205444336,-16.222976684570312
30,-15.770195960998535,-16.165407180786133
31,-15.882291793823242,-16.161823272705078
32,-15.882614135742188,-16.29924964904785
33,-15.96942138671875,-16.289575576782227
34,-15.976605415344238,-16.326095581054688
35,-15.903705596923828,-16.088298797607422
36,-15.931431770324707,-16.26920509338379
37,-16.002531051635742,-16.27399444580078
38,-16.014554977416992,-16.33000373840332
39,-16.134496688842773,-16.062652587890625
40,-16.100528717041016,-16.276506423950195
41,-16.150617599487305,-16.426227569580078
42,-16.154502868652344,-16.236433029174805
43,-16.031909942626953,-16.487314224243164
44,-16.21223258972168,-16.396900177001953
45,-16.213058471679688,-16.510459899902344
46,-16.288246154785156,-16.54100227355957
47,-16.171031951904297,-16.57179832458496
48,-16.27454376220703,-16.530363082885742
49,-16.281435012817383,-16.12416648864746
50,-16.214977264404297,-16.492868423461914
