target,prediction
0,13.937011
1,1.1158634
4,1.7421927
33,23.195726
0,0.20194906
0,1.3705239
27,18.360586
17,11.792556
0,1.0022463
1,7.375717
12,11.100054
3,0.2781499
7,4.6085415
7,3.0811296
0,0.5922194
11,12.465644
0,0.63006735
13,17.775438
0,0.48428464
16,15.466178
13,10.280028
13,3.466424
1,1.7397695
1,4.6961474
7,3.0289233
1,4.6961474
26,14.410609
12,7.8978066
14,12.126946
1,3.6562023
3,2.1739035
0,0.7605599
12,12.115751
6,6.153447
0,0.39669982
11,12.519981
35,27.00201
37,13.261013
13,8.009401
0,0.076076545
27,14.653679
31,15.407835
0,4.176307
1,0.70597565
5,5.454703
0,0.096700214
0,1.6185702
0,1.0523517
5,13.178598
4,4.3482165
0,2.978137
8,6.693258
12,11.100054
11,15.102386
24,21.355337
2,5.8652415
22,9.011853
3,2.7876413
24,21.639938
2,2.192597
10,14.6020975
1,4.7805386
6,2.9547915
9,3.0375154
15,14.412622
1,1.6625227
10,6.85448
4,2.9697459
4,8.765884
6,15.192137
16,10.056893
35,22.830929
20,17.652168
0,4.9090815
14,8.945921
22,14.044907
5,3.8472147
0,0.04812569
0,2.092388
6,15.192137
1,3.0090754
29,17.806242
0,0.20977493
0,0.38649908
35,27.460953
7,15.42204
8,10.752044
20,4.162878
0,0.1644722
10,15.360006
4,6.4384403
0,1.1233166
8,13.963642
2,3.0253565
0,0.7303346
9,9.323043
6,8.38059
34,26.684258
0,2.744238
31,27.87232
1,2.9315968
16,13.404763
25,20.128649
15,8.511027
4,1.9401389
0,0.72224045
1,3.5260112
0,2.5659087
16,12.389378
8,7.183733
0,1.776285
2,2.3571901
0,0.3980391
1,1.867277
7,6.2009587
2,1.0376639
29,11.8516655
4,2.1604335
5,2.8672497
25,20.20862
0,5.727868
15,16.394428
30,20.251493
2,4.915223
16,14.952676
5,3.7051053
8,5.0377536
5,6.7535725
13,13.03199
16,14.723053
14,10.850357
8,15.398918
11,12.273588
19,13.909873
17,16.205456
36,12.877842
6,3.264734
0,0.61961484
0,3.107269
1,1.867277
0,0.13151425
19,4.551547
0,0.6842326
21,22.280622
0,0.8123966
0,0.037280507
18,17.63341
2,4.8705773
16,12.389378
6,9.232712
21,13.137684
14,18.406475
0,0.28919163
3,2.3817906
20,13.826801
21,17.777853
17,15.814661
19,12.276851
0,0.47628006
9,5.464223
20,11.916669
10,14.6020975
0,0.15831308
36,13.668054
0,0.037280507
32,25.651552
4,6.0762944
2,1.6851413
3,0.9736827
2,1.282982
0,0.3316832
0,0.5705376
2,3.9096959
10,6.3991547
30,13.581303
16,11.390827
2,5.59072
1,1.0236217
0,0.19445108
2,1.7039015
30,22.273325
10,6.3814516
0,0.23755644
0,13.5148535
14,29.995008
28,26.754652
0,4.1314783
26,11.9572525
0,0.0087085655
10,10.913107
14,9.61237
15,14.519343
9,13.008026
26,20.699907
0,0.4870044
0,0.07820644
0,0.11579683
18,15.38881
0,0.8995243
1,2.6183195
0,0.005448943
10,12.660519
0,0.88619536
31,20.727512
0,0.11561839
0,3.4476454
17,11.796811
4,3.2329636
12,15.321186
0,1.2619497
3,3.1580393
27,8.839893
0,0.11682067
11,7.0842485
4,5.0684648
14,13.096734
22,13.455277
3,2.5189254
15,29.873156
16,9.419216
6,3.9551597
22,19.48038
0,0.119877234
30,17.750317
23,18.724537
33,24.782814
25,13.373904
26,21.32242
38,24.788458
39,23.960447
12,15.592041
25,13.969652
22,13.777274
0,13.925986
33,15.368894
12,12.115751
15,11.660063
23,18.657528
0,0.4870044
38,30.405716
6,6.13991
30,21.293936
0,3.3204825
23,16.072372
16,17.136675
8,10.604035
5,4.5050187
20,12.351532
1,0.39976692
11,17.433367
0,1.8020986
0,1.9165645
6,2.5200305
31,20.817888
35,29.256128
0,3.4805825
0,0.21703209
7,2.4343123
1,16.561808
22,13.51571
21,17.914652
33,20.534353
14,10.129702
3,3.0042598
0,0.32527247
10,6.3814516
0,14.14741
7,2.4343123
2,2.4384747
24,12.584969
35,22.600983
0,3.3228502
7,1.7012402
33,25.213434
23,12.503983
0,5.2715545
0,6.6134396
4,6.1364303
0,0.50065005
13,8.47632
0,0.2810225
1,9.37067
28,22.65183
0,0.53024644
3,4.123131
11,6.2110505
0,2.12132
29,17.806242
26,14.364277
2,1.5652541
0,1.0403051
10,8.502925
2,1.0937423
14,11.809689
1,7.375717
10,10.77185
0,6.643867
0,3.958436
13,12.835094
17,10.383483
31,25.366802
2,9.690276
18,16.070114
4,1.4485688
4,2.2328954
10,12.683081
32,16.274958
0,1.4262649
0,0.0222835
5,4.0600953
25,13.6473055
21,10.887446
11,5.6096516
10,3.351601
11,7.0842485
8,13.963642
0,0.12549286
14,8.69497
26,13.994388
10,6.5710607
10,10.77185
7,11.5021305
0,0.022845563
0,0.082996376
14,8.945921
2,0.14066951
29,16.653008
0,0.21853183
0,0.6215273
31,15.407835
14,10.341241
17,15.077958
0,0.18373437
21,12.658774
39,30.287725
27,14.653679
16,15.466178
12,18.080523
30,22.679705
39,23.022472
0,0.11718636
27,25.19779
38,20.838055
15,9.314183
1,5.60073
5,3.5291107
1,0.94805926
0,1.2885445
28,22.203566
7,15.42204
12,10.562236
1,1.1158634
0,4.062467
17,15.795214
21,12.658774
0,0.065830275
26,11.9572525
6,2.9547915
4,5.423559
5,3.3456337
25,14.254516
17,13.063855
0,4.8609643
4,6.0429764
0,0.05669182
9,5.0073423
0,3.0525725
17,17.23042
20,15.60158
5,8.135915
0,2.2934399
1,1.4670242
0,0.0833372
22,11.328814
8,1.7955828
22,18.541067
0,17.056484
0,5.550123
2,1.9173465
0,0.022722015
3,6.169895
0,6.5187464
4,3.3987756
10,12.771034
22,19.661112
7,4.9532056
0,0.050260168
0,1.2414573
0,0.587247
0,0.10881109
13,8.527274
18,11.714776
25,22.514442
1,4.7000604
11,9.751838
12,9.721859
0,0.567693
0,2.2454677
14,13.096734
0,2.51108
3,3.1239147
5,6.186766
28,12.139169
16,11.819832
24,14.289138
0,1.1955119
0,0.005035816
21,12.269398
3,1.7113819
1,2.3284903
2,1.6948134
2,2.03832
13,16.894066
6,3.9551597
3,6.109798
9,9.305888
0,2.9038284
5,2.5513687
0,5.3395014
10,10.913107
25,20.641743
10,6.2112994
18,10.539142
22,13.455277
0,2.9173331
30,22.805805
8,12.858445
28,26.345499
4,2.136176
12,8.736082
33,25.213434
2,2.4286928
5,3.4757533
0,0.13984995
13,3.4950953
3,1.81465
2,1.115375
13,16.715153
7,11.420391
23,18.578472
37,25.638786
0,13.71888
0,0.38160494
13,10.524731
0,8.998134
24,8.637283
3,2.2351365
17,15.077958
0,0.023361316
18,14.677113
0,0.488202
28,26.58238
17,9.267351
0,8.890419
7,0.89294463
39,23.022472
32,28.87769
21,13.0801735
0,0.2053897
9,3.0375154
6,3.264734
29,23.258537
2,2.192597
3,1.7918373
33,20.460901
15,10.744028
25,20.641743
0,1.0312434
0,0.077389054
11,9.973024
13,8.795948
0,0.008712677
0,0.50961167
6,3.0016649
3,4.55874
15,14.790622
0,0.83942914
0,0.15931086
8,5.0377536
14,29.995008
17,13.603936
5,3.7051053
24,13.481375
33,28.262896
0,0.021502
14,8.707576
26,23.937859
8,7.9194508
26,20.699907
37,21.892857
11,15.344011
8,15.402538
14,11.809689
17,12.6650715
11,11.0061865
25,9.593319
23,9.123732
20,5.13832
12,17.502226
11,8.785883
0,2.5148225
17,11.670078
26,17.777603
0,2.2934399
2,3.2092972
24,19.310104
0,0.31466857
20,21.526052
5,3.0240903
31,25.060053
0,0.20194906
24,19.97473
12,4.844956
5,6.1509647
31,23.073345
3,3.5121436
37,23.084295
1,1.1313708
0,10.840926
15,29.745256
31,29.313473
29,6.5145955
0,1.0403051
13,8.527274
0,10.846272
12,6.4749346
21,16.235636
18,16.230713
29,27.359554
6,8.243465
4,5.2953506
36,26.378696
4,2.4501662
0,0.8584543
35,29.10538
5,2.52252
2,6.118348
3,1.1720636
9,15.379454
7,10.653768
37,25.638786
5,6.200404
0,4.930782
1,3.0214791
4,22.649897
34,22.276112
0,14.14741
13,8.597641
22,17.839853
21,13.645762
2,3.0152717
5,12.308941
12,12.719219
32,22.46765
36,33.137913
4,1.2325108
9,3.885625
10,7.230426
10,6.5710607
12,17.39119
23,16.626684
29,27.611452
0,1.3378543
0,1.4484665
18,15.27094
0,0.57087636
1,3.5260112
23,13.729292
2,12.481954
7,3.0927782
0,1.329248
12,15.592041
12,6.472199
4,4.39458
