Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Run,Charge Alert,Battery Random Reduction
17,252,0.85,0.2689434364994664,2,1,1,0.2,0
16,278,0.8,0.29669156883671294,2,1,2,0.2,0
17,254,0.85,0.2710779082177161,2,1,3,0.2,0
16,248,0.8,0.2646744930629669,2,1,4,0.2,0
16,214,0.8,0.22838847385272146,2,1,5,0.2,0
17,259,0.85,0.27641408751334046,2,2,1,0.2,0
17,270,0.85,0.288153681963714,2,2,2,0.2,0
16,269,0.8,0.2870864461045891,2,2,3,0.2,0
18,245,0.9,0.26147278548559233,2,2,4,0.2,0
16,226,0.8,0.24119530416221985,2,2,5,0.2,0
16,290,0.8,0.3094983991462113,2,3,1,0.2,0
16,253,0.8,0.2700106723585913,2,3,2,0.2,0
17,224,0.85,0.2390608324439701,2,3,3,0.2,0
16,249,0.8,0.2657417289220918,2,3,4,0.2,0
16,234,0.8,0.2497331910352188,2,3,5,0.2,0
16,258,0.8,0.2753468516542156,2,4,1,0.2,0
16,268,0.8,0.28601921024546423,2,4,2,0.2,0
16,272,0.8,0.2902881536819637,2,4,3,0.2,0
18,251,0.9,0.2678762006403415,2,4,4,0.2,0
16,293,0.8,0.3127001067235859,2,4,5,0.2,0
16,268,0.8,0.28601921024546423,2,5,1,0.2,0
17,285,0.85,0.304162219850587,2,5,2,0.2,0
18,238,0.9,0.25400213447171827,2,5,3,0.2,0
17,271,0.85,0.2892209178228389,2,5,4,0.2,0
17,258,0.85,0.2753468516542156,2,5,5,0.2,0
16,321,0.8,0.3425827107790822,2,6,1,0.2,0
15,279,0.75,0.29775880469583776,2,6,2,0.2,0
16,247,0.8,0.26360725720384204,2,6,3,0.2,0
16,257,0.8,0.2742796157950907,2,6,4,0.2,0
18,277,0.9,0.29562433297758806,2,6,5,0.2,0
16,236,0.8,0.2518676627534685,2,7,1,0.2,0
16,244,0.8,0.26040554962646745,2,7,2,0.2,0
15,309,0.75,0.3297758804695838,2,7,3,0.2,0
17,230,0.85,0.24546424759871932,2,7,4,0.2,0
18,248,0.9,0.2646744930629669,2,7,5,0.2,0
17,215,0.85,0.2294557097118463,2,8,1,0.2,0
16,265,0.8,0.28281750266808964,2,8,2,0.2,0
16,284,0.8,0.3030949839914621,2,8,3,0.2,0
17,255,0.85,0.272145144076841,2,8,4,0.2,0
16,259,0.8,0.27641408751334046,2,8,5,0.2,0
16,265,0.8,0.28281750266808964,2,9,1,0.2,0
16,282,0.8,0.30096051227321235,2,9,2,0.2,0
18,246,0.9,0.26254002134471716,2,9,3,0.2,0
16,257,0.8,0.2742796157950907,2,9,4,0.2,0
16,266,0.8,0.2838847385272145,2,9,5,0.2,0
16,241,0.8,0.25720384204909286,2,10,1,0.2,0
16,259,0.8,0.27641408751334046,2,10,2,0.2,0
16,261,0.8,0.27854855923159016,2,10,3,0.2,0
16,283,0.8,0.30202774813233724,2,10,4,0.2,0
16,316,0.8,0.33724653148345785,2,10,5,0.2,0
15,257,0.75,0.2742796157950907,2,11,1,0.2,0
17,255,0.85,0.272145144076841,2,11,2,0.2,0
17,233,0.85,0.2486659551760939,2,11,3,0.2,0
16,269,0.8,0.2870864461045891,2,11,4,0.2,0
16,278,0.8,0.29669156883671294,2,11,5,0.2,0
