Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
16.8,253.8,0.8400000000000001,0.2708644610458911,2.0,2.0,3.0,0.2,0.0
16.2,250.0,0.8099999999999999,0.2668089647812167,2.0,3.0,3.0,0.2,0.0
16.4,268.4,0.8200000000000001,0.2864461045891142,2.0,4.0,3.0,0.2,0.0
17.0,264.0,0.85,0.28175026680896476,2.0,5.0,3.0,0.2,0.0
16.2,276.2,0.8100000000000002,0.29477054429028815,2.0,6.0,3.0,0.2,0.0
16.4,253.4,0.8200000000000001,0.27043756670224117,2.0,7.0,3.0,0.2,0.0
16.4,255.6,0.8200000000000001,0.2727854855923159,2.0,8.0,3.0,0.2,0.0
16.4,263.2,0.82,0.28089647812166485,2.0,9.0,3.0,0.2,0.0
16.0,272.0,0.8,0.2902881536819637,2.0,10.0,3.0,0.2,0.0
16.2,258.4,0.8099999999999999,0.27577374599786547,2.0,11.0,3.0,0.2,0.0
