epoch,train_loss,val_loss
1,-14.597249984741211,-18.352420806884766
2,-16.706432342529297,-18.61290740966797
3,-16.780963897705078,-18.676780700683594
4,-17.058565139770508,-18.82872200012207
5,-17.18625259399414,-19.059192657470703
6,-17.383756637573242,-19.219738006591797
7,-17.39821434020996,-19.34246253967285
8,-17.52806854248047,-19.24744987487793
9,-17.70651626586914,-19.476221084594727
10,-17.76255226135254,-19.290790557861328
11,-17.789121627807617,-19.46368980407715
12,-17.815824508666992,-18.976818084716797
13,-17.694894790649414,-19.242656707763672
14,-17.97313690185547,-19.687278747558594
15,-18.135671615600586,-19.528751373291016
16,-18.139957427978516,-19.78021812438965
17,-18.14592742919922,-19.54775619506836
18,-18.204631805419922,-19.750621795654297
19,-18.24456787109375,-19.814250946044922
20,-18.377357482910156,-19.57796859741211
21,-18.05274772644043,-19.92930030822754
22,-18.29444122314453,-19.89603042602539
23,-18.417205810546875,-19.92346954345703
24,-18.083120346069336,-19.623781204223633
25,-18.380720138549805,-20.021888732910156
26,-18.53609848022461,-19.84410285949707
27,-18.4881649017334,-20.050498962402344
28,-18.590805053710938,-19.94137191772461
29,-18.599044799804688,-20.12744140625
30,-18.65346908569336,-20.08868408203125
31,-18.80112075805664,-20.183164596557617
32,-18.74420166015625,-20.232465744018555
33,-18.822118759155273,-20.060373306274414
34,-18.889320373535156,-20.36415672302246
35,-18.937564849853516,-20.342166900634766
36,-18.96950340270996,-20.096534729003906
37,-18.91055679321289,-20.36213493347168
38,-18.908733367919922,-20.51529884338379
39,-18.82088851928711,-20.351696014404297
40,-19.117630004882812,-19.964204788208008
41,-19.178415298461914,-20.4244384765625
42,-19.18502426147461,-20.606483459472656
43,-19.185720443725586,-20.47661018371582
44,-19.34745216369629,-20.298973083496094
45,-19.362146377563477,-20.468360900878906
46,-19.29555892944336,-20.315027236938477
47,-19.325159072875977,-20.49508285522461
48,-19.342870712280273,-20.792219161987305
49,-19.526519775390625,-20.71445655822754
50,-19.59173583984375,-20.618696212768555
