Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
16.8,36.4,0.8400000000000001,0.038847385272145145,2.0,2.0,3.0,0.2,0.0
16.2,34.0,0.8099999999999999,0.03628601921024546,2.0,3.0,3.0,0.2,0.0
16.4,39.4,0.8200000000000001,0.04204909284951974,2.0,4.0,3.0,0.2,0.0
17.0,33.6,0.85,0.035859124866595524,2.0,5.0,3.0,0.2,0.0
16.2,33.2,0.8100000000000002,0.03543223052294557,2.0,6.0,3.0,0.2,0.0
16.4,40.2,0.8200000000000001,0.042902881536819634,2.0,7.0,3.0,0.2,0.0
16.4,31.4,0.8200000000000001,0.03351120597652081,2.0,8.0,3.0,0.2,0.0
16.4,31.0,0.82,0.033084311632870865,2.0,9.0,3.0,0.2,0.0
16.0,32.4,0.8,0.03457844183564567,2.0,10.0,3.0,0.2,0.0
16.2,38.4,0.8099999999999999,0.040981856990394874,2.0,11.0,3.0,0.2,0.0
