current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
105,Drone_287,0.4199999999999995,1.1870147,0.2109502310972899,21.12666111897288,Charger_107,3,1,0,0
105,Drone_281,0.39499999999999946,1.1114615,0.18439088914585774,18.470664550151607,Charger_108,2,1,0,0
122,Drone_282,0.3249999999999994,1.1782819,0.11401754250991379,11.433314952691775,Charger_106,3,1,0,0
131,Drone_284,0.27999999999999936,1.2187524,0.15,15.0348,Charger_108,1,1,0,1
138,Drone_286,0.24999999999999933,1.2661436,0.11401754250991379,11.436314952691776,Charger_107,2,2,0,1
148,Drone_285,0.2049999999999993,1.2510179,0.09219544457292887,9.255032275075804,Charger_106,2,2,0,1
168,Drone_283,0.0999999999999992,1.2910277,0.0806225774829855,8.101482651397868,Charger_107,2,1,0,1
246,Drone_287,0.4199999999999995,1.1705323,0.2109502310972899,21.12666111897288,Charger_107,3,1,0,0
251,Drone_281,0.39499999999999946,1.1081103,0.18439088914585774,18.470664550151607,Charger_108,2,1,0,0
284,Drone_282,0.3249999999999994,1.1173403,0.11401754250991379,11.433314952691775,Charger_106,2,1,0,0
290,Drone_285,0.35999999999999943,1.2433833,0.15,15.0316,Charger_108,1,1,0,1
301,Drone_286,0.3249999999999994,1.1873121,0.11401754250991379,11.433314952691775,Charger_107,3,1,0,0
326,Drone_283,0.2999999999999994,1.1271017,0.09219544457292887,9.251232275075804,Charger_106,2,1,0,0
327,Drone_284,0.18999999999999928,1.298404,0.0806225774829855,8.09788265139787,Charger_107,2,1,0,1
385,Drone_287,0.4199999999999995,1.1757324,0.2109502310972899,21.12666111897288,Charger_107,3,1,0,0
395,Drone_281,0.39499999999999946,1.1122199,0.18439088914585774,18.470664550151607,Charger_108,2,1,0,0
442,Drone_282,0.3249999999999994,1.1141038,0.11401754250991379,11.433314952691775,Charger_106,2,1,0,0
460,Drone_285,0.28999999999999937,1.1817334,0.0806225774829855,8.093882651397868,Charger_107,3,1,0,0
466,Drone_286,0.25999999999999934,1.193282,0.09219544457292887,9.252832275075804,Charger_106,1,1,0,1
470,Drone_284,0.35999999999999943,1.1255617,0.15,15.0316,Charger_108,2,1,0,0
485,Drone_283,0.28999999999999937,1.3127104,0.0806225774829855,8.093882651397868,Charger_107,2,1,0,1
