Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
6.6,631.6,0.825,0.6740661686232656,1.0,2.0,3.0,0.2,0.0
6.8,597.2,0.85,0.6373532550693704,1.0,3.0,3.0,0.2,0.0
6.6,638.6,0.825,0.6815368196371397,1.0,4.0,3.0,0.2,0.0
7.0,568.0,0.875,0.6061899679829242,1.0,5.0,3.0,0.2,0.0
6.8,603.6,0.85,0.6441835645677695,1.0,6.0,3.0,0.2,0.0
6.6,633.6,0.825,0.6762006403415155,1.0,7.0,3.0,0.2,0.0
6.6,616.4,0.825,0.6578441835645679,1.0,8.0,3.0,0.2,0.0
6.4,637.6,0.8,0.680469583778015,1.0,9.0,3.0,0.2,0.0
6.2,678.2,0.775,0.7237993596584845,1.0,10.0,3.0,0.2,0.0
6.8,599.0,0.85,0.6392742796157952,1.0,11.0,3.0,0.2,0.0
