target,prediction
0,0.46007237
0,0.007322459
0,7.5526805
33,38.155895
8,9.273209
24,28.035753
18,22.612339
4,4.6942325
0,0.13019548
17,12.453809
9,10.392895
0,4.803593
13,15.744817
10,10.260993
19,23.82143
14,15.499463
9,8.837685
0,0.8293065
0,0.66934377
1,4.8997717
27,23.069494
0,0.0001725156
8,9.273209
32,35.303967
0,7.5526805
8,7.8991227
14,7.9837813
1,1.8351563
2,2.64513
1,1.9228648
0,0.00232209
0,0.0043773903
15,9.670842
10,11.447783
0,0.024529612
14,7.9837813
0,0.00018242614
0,6.6584606
0,0.13119544
7,10.66181
9,10.107216
17,21.479082
7,8.027761
21,26.36217
2,4.448266
1,1.8351563
0,0.007681545
33,38.155895
22,27.492077
7,11.247318
9,10.367747
0,7.5526805
17,13.739311
7,7.989543
15,9.670842
0,6.6584606
0,4.8513575
0,0.0001687768
0,0.43911102
0,0.66934377
0,6.6584606
0,5.9836137e-05
9,10.442613
0,6.616994
12,10.4011
8,12.639524
13,9.154424
6,17.494833
0,0.042623512
31,32.279305
34,41.14979
15,9.621552
21,26.36217
8,8.972048
34,41.14979
0,0.00017625958
17,12.453809
12,15.932113
5,8.646297
15,22.203655
0,0.27988842
16,20.408619
1,4.8997717
1,0.40341318
15,9.621552
24,28.035753
6,17.494833
16,9.411938
12,13.912593
0,0.009815835
0,0.6897409
5,15.40839
25,26.519888
0,0.0071197827
0,0.6459403
0,0.00790611
2,5.662001
13,15.3336
1,4.892687
7,8.027761
12,10.002187
5,15.40839
29,25.286343
9,8.837685
4,6.0400143
0,0.02310914
16,15.24453
5,5.701162
6,6.854838
0,0.008391446
0,0.022691622
16,15.24453
10,12.662402
0,0.010844425
22,27.492077
0,0.25228292
2,2.5716944
9,14.1944475
0,0.004701632
0,0.31813115
9,13.982538
28,22.022757
7,11.247318
24,28.035753
1,2.1505213
0,3.19442
9,10.367747
0,5.9836137e-05
17,15.036247
0,0.00017625958
0,4.9226303
3,11.789298
0,0.23678724
0,0.062121868
0,0.31813115
15,15.419131
3,6.5468473
17,15.071905
0,0.00017625958
6,8.090348
0,0.0001725156
0,0.017175736
14,16.914886
0,0.46007237
10,9.773156
24,28.035753
4,4.6942325
0,0.0057770563
31,32.279305
5,5.661413
5,4.419087
0,0.062121868
5,5.661413
3,11.789298
0,0.018744502
13,15.3336
18,22.612339
2,2.8564668
0,0.0001783912
14,9.79581
3,3.112535
14,14.838205
0,6.6584606
6,17.494833
0,6.0012674
