Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.2,25,1.0,0,0,0,0
50,0.2,0.2,25,1.0,0,0,0,0
100,0.2,0.2,25,1.0,5,5,0,0
150,0.2,0.2,25,1.0,0,5,1.520000000000001,1.520000000000001
200,0.2,0.2,19,0.76,16,16,1.9200000000000017,3.4400000000000026
250,0.2,0.2,17,0.68,18,34,3.4199999999999724,5.339999999999974
300,0.2,0.2,14,0.56,16,34,3.8599999999999604,7.279999999999933
350,0.2,0.2,10,0.4,31,47,5.359999999999932,9.219999999999892
400,0.2,0.2,8,0.32,16,47,5.819999999999919,11.17999999999985
450,0.2,0.2,6,0.24,41,57,6.539999999999907,12.359999999999825
500,0.2,0.2,6,0.24,37,78,6.739999999999899,13.279999999999806
