Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,100,1.0,0,0,0,0
50,0.2,0.3,100,1.0,21,21,0,0
100,0.2,0.3,78,0.78,140,161,15.689999999999984,15.689999999999984
150,0.2,0.3,48,0.48,331,471,21.84000000000004,37.53000000000002
200,0.2,0.3,45,0.45,648,979,17.879999999999953,39.71999999999999
250,0.2,0.3,45,0.45,1129,1777,44.30999999999987,62.18999999999982
300,0.2,0.3,44,0.44,1621,2750,29.279999999999838,73.5899999999997
350,0.2,0.3,44,0.44,1879,3500,52.70999999999987,81.98999999999971
400,0.2,0.3,44,0.44,2451,4330,50.729999999999755,103.43999999999963
450,0.2,0.3,44,0.44,2767,5218,60.87000000000014,111.5999999999999
500,0.2,0.3,44,0.44,3277,6044,65.16000000000017,126.03000000000031
