Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,70,1.0,0,0,0,0
50,0.2,0.3,70,1.0,0,0,0,0
100,0.2,0.3,68,0.9714285714285714,57,57,9.83999999999999,9.83999999999999
150,0.2,0.3,48,0.6857142857142857,36,93,15.060000000000024,24.900000000000013
200,0.2,0.3,36,0.5142857142857142,85,121,18.839999999999833,33.89999999999986
250,0.2,0.3,36,0.5142857142857142,89,174,23.51999999999984,42.35999999999967
300,0.2,0.3,36,0.5142857142857142,172,261,31.65000000000005,55.16999999999989
350,0.2,0.3,33,0.4714285714285714,184,356,33.420000000000144,65.07000000000019
400,0.2,0.3,33,0.4714285714285714,315,499,39.450000000000344,72.87000000000049
450,0.2,0.3,33,0.4714285714285714,302,617,45.840000000000614,85.29000000000096
500,0.2,0.3,33,0.4714285714285714,441,743,49.05000000000071,94.89000000000132
