Total Drones,Total Birds,Average Active Drones,Average Total Damage,Average Alive Drone Rate,Average Damage Rate,Train,Average Run,Charge Alert,Battery Random Reduction
0,5,0,1.6,0,0.001707577,1,3,0.2,0.2
0,10,0,12.4,0,0.013233725,1,3,0.2,0.2
0,15,0,32.2,0,0.034364995,1,3,0.2,0.2
0,20,0,56.8,0,0.060618997,1,3,0.2,0.2
0,25,0,76.8,0,0.081963714,1,3,0.2,0.2
0,30,0,135.6,0,0.144717182,1,3,0.2,0.2
0,35,0,196.6,0,0.20981857,1,3,0.2,0.2
0,40,0,241.4,0,0.257630736,1,3,0.2,0.2
0,45,0,322,0,0.343649947,1,3,0.2,0.2
0,50,0,369.4,0,0.394236926,1,3,0.2,0.2
0,55,0,458,0,0.488794023,1,3,0.2,0.2
0,60,0,511.8,0,0.546211313,1,3,0.2,0.2
0,65,0,587.8,0,0.627321238,1,3,0.2,0.2
0,70,0,657.6,0,0.701814301,1,3,0.2,0.2
0,75,0,756,0,0.806830309,1,3,0.2,0.2
0,80,0,791.8,0,0.845037353,1,3,0.2,0.2
0,85,0,833.6,0,0.889647812,1,3,0.2,0.2
0,90,0,897.2,0,0.957524013,1,3,0.2,0.2
0,95,0,918.2,0,0.979935966,1,3,0.2,0.2
0,100,0,937,0,1,1,3,0.2,0.2
0,105,0,937,0,1,1,3,0.2,0.2
0,110,0,937,0,1,1,3,0.2,0.2
0,115,0,937,0,1,1,3,0.2,0.2
0,120,0,937,0,1,1,3,0.2,0.2
