Learnings,Drone Rate 500 Time-steps,Damage Rate 500 Time-steps,Drone Rate 1000 Time-steps,Damage Rate 1000 Time-steps,Drone Rate 1500 Time-steps,Damage Rate 1500 Time-steps,Drone Rate 2000 Time-steps,Damage Rate 2000 Time-steps
0,0.6,0.428601921,0.56,0.830736393,0.56,1,0.54,1
1,0.6,0.433297759,0.56,0.837139808,0.54,1,0.6,1
2,0.56,0.423052295,0.6,0.782497332,0.58,1,0.58,1
3,0.56,0.426894344,0.6,0.805122732,0.58,1,0.58,1
4,0.6,0.413660619,0.56,0.818996798,0.54,1,0.6,1
5,0.58,0.406616862,0.58,0.824546425,0.56,1,0.58,1
6,0.56,0.396157951,0.56,0.807257204,0.56,0.999786553,0.54,1
7,0.58,0.410458911,0.56,0.796798292,0.6,1,0.56,1
8,0.6,0.395304162,0.56,0.802774813,0.56,1,0.56,1
9,0.6,0.421344717,0.56,0.829242263,0.56,1,0.56,1
