Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
4.8,167.8,0.24,0.1790821771611526,3.0,1.0,3.0,0.2,0.0
6.0,164.0,0.3,0.1750266808964781,3.0,2.0,3.0,0.2,0.0
6.0,154.6,0.3,0.16499466382070438,3.0,3.0,3.0,0.2,0.0
6.0,161.8,0.3,0.17267876200640342,3.0,4.0,3.0,0.2,0.0
6.0,155.4,0.3,0.16584845250800426,3.0,5.0,3.0,0.2,0.0
6.0,170.4,0.3,0.18185699039487727,3.0,6.0,3.0,0.2,0.0
6.0,173.8,0.3,0.1854855923159018,3.0,7.0,3.0,0.2,0.0
5.6,148.4,0.28,0.15837780149413022,3.0,8.0,3.0,0.2,0.0
6.0,177.8,0.3,0.18975453575240125,3.0,9.0,3.0,0.2,0.0
6.0,151.4,0.3,0.16157950907150478,3.0,10.0,3.0,0.2,0.0
