Active Drones,Total Damage,Energy Consumed,Train,Run,Charge Alert,Battery Random Reduction
9,20,20.95999999999973,1,1,0.1,0.3
8,173,22.3599999999997,1,2,0.18888888888888888,0.3
9,94,24.919999999999646,1,3,0.2777777777777778,0.3
11,112,31.439999999999507,1,4,0.3666666666666667,0.3
9,182,28.95999999999956,1,5,0.4555555555555556,0.3
9,170,29.319999999999553,1,6,0.5444444444444445,0.3
7,256,26.67999999999961,1,7,0.6333333333333333,0.3
6,439,25.999999999999623,1,8,0.7222222222222222,0.3
6,1008,23.599999999999675,1,9,0.8111111111111111,0.3
6,546,24.119999999999663,1,10,0.9,0.3
