Active Drones,Total Damage,Energy Consumed,Train,Run,Charge Alert,Battery Random Reduction
12,918,45.799999999999876,1,1,0.1,0.3
12,1362,44.63999999999975,1,2,0.18888888888888888,0.3
11,1294,42.03999999999987,1,3,0.2777777777777778,0.3
10,1312,38.880000000000024,1,4,0.3666666666666667,0.3
15,1223,60.31999999999968,1,5,0.4555555555555556,0.3
13,983,50.83999999999971,1,6,0.5444444444444445,0.3
7,974,28.959999999999933,1,7,0.6333333333333333,0.3
22,951,89.23999999999916,1,8,0.7222222222222222,0.3
15,1141,59.5999999999996,1,9,0.8111111111111111,0.3
15,1071,58.7199999999997,1,10,0.9,0.3
