Active Drones,Total Damage,Energy Consumed,Train,Run,Charge Alert,Battery Random Reduction
16,2237,48.5199999999995,1,1,0.1,0.3
14,3368,44.479999999999585,1,2,0.18888888888888888,0.3
17,3296,55.03999999999936,1,3,0.2777777777777778,0.3
18,4363,60.31999999999925,1,4,0.3666666666666667,0.3
19,3252,70.79999999999902,1,5,0.4555555555555556,0.3
18,4374,67.27999999999909,1,6,0.5444444444444445,0.3
19,4960,71.51999999999902,1,7,0.6333333333333333,0.3
19,4063,73.55999999999896,1,8,0.7222222222222222,0.3
16,4027,65.91999999999913,1,9,0.8111111111111111,0.3
13,5081,59.71999999999926,1,10,0.9,0.3
