Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,14,1.0,0,0,0,0
50,0.2,0.3,14,1.0,0,0,0,0
100,0.2,0.3,14,1.0,9,9,1.3600000000000005,1.3600000000000005
150,0.2,0.3,13,0.9285714285714286,0,9,3.320000000000003,4.680000000000003
200,0.2,0.3,9,0.6428571428571429,56,56,4.680000000000002,8.000000000000005
250,0.2,0.3,9,0.6428571428571429,2,58,5.3599999999999595,10.039999999999962
300,0.2,0.3,9,0.6428571428571429,63,65,6.959999999999954,12.319999999999913
350,0.2,0.3,9,0.6428571428571429,13,76,8.879999999999885,15.839999999999838
400,0.2,0.3,9,0.6428571428571429,66,79,8.919999999999913,17.799999999999798
450,0.2,0.3,9,0.6428571428571429,55,121,10.879999999999843,19.799999999999756
500,0.2,0.3,9,0.6428571428571429,94,149,12.31999999999984,23.199999999999683
