Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.2,25,1.0,0,0,0,0
50,0.2,0.2,25,1.0,0,0,0,0
100,0.2,0.2,25,1.0,0,0,0.18,0.18
150,0.2,0.2,25,1.0,0,0,1.9400000000000015,2.1200000000000014
200,0.2,0.2,14,0.56,0,0,2.12,4.060000000000001
250,0.2,0.2,13,0.52,0,0,3.7999999999999616,5.919999999999962
300,0.2,0.2,12,0.48,22,22,4.059999999999959,7.85999999999992
350,0.2,0.2,8,0.32,0,22,5.739999999999921,9.79999999999988
400,0.2,0.2,8,0.32,59,59,5.979999999999918,11.719999999999839
450,0.2,0.2,8,0.32,14,73,7.67999999999988,13.659999999999798
500,0.2,0.2,8,0.32,64,78,7.859999999999878,15.539999999999758
