Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,100,1.0,0,0,0,0
50,0.2,0.3,100,1.0,7,7,0,0
100,0.2,0.3,12,0.12,33,40,10.080000000000005,10.080000000000005
150,0.2,0.3,12,0.12,50,83,0.3200000000000003,10.400000000000006
200,0.2,0.3,12,0.12,88,138,19.00000000000001,19.32000000000001
250,0.2,0.3,12,0.12,150,238,1.7600000000000016,20.760000000000012
300,0.2,0.3,12,0.12,235,385,26.519999999999985,28.279999999999987
350,0.2,0.3,12,0.12,322,557,4.439999999999987,30.959999999999972
400,0.2,0.3,12,0.12,374,696,32.35999999999996,36.79999999999994
450,0.2,0.3,12,0.12,479,853,8.919999999999938,41.279999999999895
500,0.2,0.3,12,0.12,604,1083,35.99999999999994,44.91999999999988
