Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,100,1.0,0,0,0,0
50,0.2,0.3,100,1.0,66,66,0,0
100,0.2,0.3,82,0.82,151,217,13.949999999999989,13.949999999999989
150,0.2,0.3,46,0.46,361,512,23.13000000000003,37.08000000000002
200,0.2,0.3,45,0.45,656,1017,15.149999999999956,38.27999999999999
250,0.2,0.3,43,0.43,1034,1690,47.45999999999986,62.609999999999815
300,0.2,0.3,43,0.43,1456,2490,25.199999999999854,72.65999999999971
350,0.2,0.3,43,0.43,1816,3272,51.92999999999984,77.1299999999997
400,0.2,0.3,41,0.41,2597,4413,49.82999999999972,101.75999999999956
450,0.2,0.3,41,0.41,2846,5443,57.629999999999974,107.4599999999997
500,0.2,0.3,41,0.41,3505,6351,62.07000000000003,119.7
