Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,25,1.0,0,0,0,0
50,0.2,0.3,25,1.0,130,130,0,0
100,0.2,0.3,23,0.92,417,547,9.120000000000005,9.120000000000005
150,0.2,0.3,19,0.76,298,715,6.640000000000008,15.760000000000012
200,0.2,0.3,18,0.72,590,888,13.199999999999996,19.840000000000003
250,0.2,0.3,17,0.68,511,1101,12.279999999999923,25.47999999999992
300,0.2,0.3,17,0.68,899,1410,18.6399999999999,30.919999999999824
350,0.2,0.3,17,0.68,818,1717,17.599999999999838,36.23999999999974
400,0.2,0.3,17,0.68,1151,1969,26.27999999999976,43.8799999999996
450,0.2,0.3,17,0.68,1123,2274,22.959999999999724,49.23999999999948
500,0.2,0.3,17,0.68,1463,2586,29.47999999999969,52.439999999999415
