Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,70,1.0,0,0,0,0
50,0.2,0.3,70,1.0,0,0,0,0
100,0.2,0.3,70,1.0,9,9,8.579999999999986,8.579999999999986
150,0.2,0.3,52,0.7428571428571429,4,13,16.140000000000022,24.72000000000001
200,0.2,0.3,39,0.5571428571428572,33,37,19.679999999999787,35.81999999999981
250,0.2,0.3,39,0.5571428571428572,151,184,25.319999999999865,44.99999999999965
300,0.2,0.3,39,0.5571428571428572,121,272,31.140000000000114,56.45999999999998
350,0.2,0.3,38,0.5428571428571428,225,346,38.94000000000027,70.08000000000038
400,0.2,0.3,38,0.5428571428571428,170,395,42.06000000000053,81.0000000000008
450,0.2,0.3,38,0.5428571428571428,274,444,50.2800000000007,92.34000000000123
500,0.2,0.3,38,0.5428571428571428,214,488,53.340000000000956,103.62000000000165
