Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,8,1.0,0,0,0,0
50,0.2,0.3,8,1.0,1,1,0,0
100,0.2,0.3,8,1.0,32,33,1.6800000000000004,1.6800000000000004
150,0.2,0.3,7,0.875,26,58,2.6000000000000014,4.280000000000002
200,0.2,0.3,6,0.75,36,62,2.6400000000000015,5.240000000000003
250,0.2,0.3,6,0.75,26,62,3.360000000000002,6.0000000000000036
300,0.2,0.3,6,0.75,98,124,5.8800000000000034,9.240000000000006
350,0.2,0.3,6,0.75,37,135,4.560000000000005,10.440000000000008
400,0.2,0.3,6,0.75,98,135,6.720000000000003,11.280000000000008
450,0.2,0.3,6,0.75,71,169,6.7599999999999705,13.479999999999974
500,0.2,0.3,6,0.75,172,243,8.959999999999987,15.719999999999956
