Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,8,1.0,0,0,0,0
50,0.2,0.3,8,1.0,0,0,0,0
100,0.2,0.3,8,1.0,12,12,1.6400000000000003,1.6400000000000003
150,0.2,0.3,7,0.875,73,85,2.6400000000000015,4.280000000000002
200,0.2,0.3,6,0.75,16,89,2.5200000000000014,5.160000000000003
250,0.2,0.3,6,0.75,102,118,5.160000000000004,7.680000000000005
300,0.2,0.3,6,0.75,103,205,4.160000000000004,9.320000000000007
350,0.2,0.3,6,0.75,120,223,6.200000000000003,10.360000000000007
400,0.2,0.3,6,0.75,128,248,6.5199999999999925,12.719999999999995
450,0.2,0.3,6,0.75,131,259,7.879999999999985,14.399999999999977
500,0.2,0.3,6,0.75,138,269,7.359999999999975,15.23999999999996
