Iterations,Charge Alert,Battery Randomize,Alive Drones,Drone Live Rate,Damage,Cumulative Damage,Consumed Energy,Cumulative Consumed Energy
0,0.2,0.3,8,1.0,0,0,0,0
50,0.2,0.3,8,1.0,1,1,0,0
100,0.2,0.3,8,1.0,31,32,1.7600000000000005,1.7600000000000005
150,0.2,0.3,6,0.75,27,58,2.5200000000000014,4.280000000000002
200,0.2,0.3,5,0.625,32,59,2.6800000000000015,5.200000000000003
250,0.2,0.3,5,0.625,40,72,3.6800000000000024,6.360000000000004
300,0.2,0.3,5,0.625,176,216,5.760000000000004,9.440000000000007
350,0.2,0.3,5,0.625,149,325,3.8000000000000016,9.560000000000006
400,0.2,0.3,5,0.625,210,359,7.080000000000006,10.880000000000008
450,0.2,0.3,5,0.625,190,400,6.359999999999974,13.43999999999998
500,0.2,0.3,5,0.625,340,530,7.719999999999996,14.07999999999997
