id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_89,0.7105233278363582,30,177,2,391,0,0
Drone_81,0.7137934769842973,663,393,2,116,0,0
Drone_30,0.7171656733411486,106,871,2,307,0,0
Drone_21,0.7221833121635585,923,308,2,161,0,0
Drone_88,0.7249064588789386,959,591,2,276,0,0
Drone_99,0.7452776578294302,88,837,2,273,0,0
Drone_16,0.7507651166023778,931,897,2,508,0,0
Drone_79,0.7689407896763646,205,12,2,386,0,0
Drone_75,0.7858230562351696,797,762,2,381,0,0
Drone_31,0.7932038917734969,909,484,2,165,0,0
Drone_66,0.7986253412337438,66,250,2,314,0,0
Drone_10,0.8079658901554982,975,974,2,549,0,0
Drone_13,0.8254628414266277,705,671,2,265,0,0
Drone_24,0.836088333512892,188,91,2,360,0,0
Drone_82,0.8382511395683562,762,990,2,337,0,0
Drone_11,0.8443318259598147,952,959,2,526,0,0
Drone_78,0.8597430530147205,879,890,2,457,0,0
Drone_38,0.8726404086425786,838,980,2,412,0,0
Drone_55,0.8842420416819485,686,720,2,272,0,0
Drone_52,0.9180649537077433,979,741,2,411,0,0
Drone_5,0.9785310281703514,828,857,2,414,0,0
Drone_20,0.7747243556576693,280,302,2,242,4,4
Drone_28,0.7756785655489873,380,174,2,151,5,5
Drone_14,0.7483590156710896,618,778,2,262,20,20
Drone_90,0.6984355470347418,770,334,2,47,25,25
Drone_72,0.7035247921961993,284,668,2,203,39,39
Drone_85,0.7042836595697948,590,427,2,190,41,41
Drone_97,0.9018935305462124,116,237,2,328,44,44
Drone_80,0.8338279718566035,227,597,2,143,58,58
Drone_40,0.777898023888986,429,158,2,120,66,66
Drone_34,0.6504137829609069,702,132,2,128,102,163
Drone_57,0.6449801649811967,146,205,2,363,118,177
Drone_22,0.5299257243749673,738,110,2,131,189,193
Drone_49,0.5391577771053315,876,551,2,195,192,197
Drone_64,0.4999598947459255,841,540,2,170,205,206
Drone_53,0.6522226578726384,218,113,2,324,115,210
Drone_44,0.7003143891634939,588,479,2,154,72,212
Drone_47,0.6823287692175862,226,214,2,290,105,218
Drone_19,0.6943003776628601,318,228,2,197,94,233
Drone_70,0.46644255797703266,382,239,2,133,266,269
Drone_69,0.6547340738943639,213,577,2,126,137,277
Drone_3,0.5947191803882363,198,580,2,112,208,280
Drone_84,0.690012895486101,242,548,2,155,117,281
Drone_73,0.49601101102870004,742,78,2,161,286,288
Drone_39,0.6101801899024785,764,100,2,135,206,292
Drone_4,0.45121779278011026,260,543,2,174,302,304
Drone_100,0.7150385964503418,126,471,2,100,103,304
Drone_33,0.610669310653624,241,573,2,154,218,304
Drone_65,0.6249237768455133,573,734,2,201,208,315
Drone_6,0.5767182393065008,834,473,2,107,275,316
Drone_12,0.6507629780895513,245,576,2,158,206,318
Drone_56,0.7353862056741959,833,212,2,59,125,319
Drone_46,0.5894876094224746,733,613,2,236,276,328
Drone_60,0.8009660783496981,745,138,2,102,77,329
Drone_25,0.6492012176415172,271,557,2,184,241,341
Drone_43,0.3422628818821637,832,148,2,102,370,403
Drone_86,0.355564394364938,205,589,2,120,375,403
Drone_26,0.3594717983019979,766,78,2,157,377,435
Drone_27,0.3196197972249133,185,590,2,101,418,438
Drone_67,0.38110791912644326,701,537,2,174,371,441
Drone_48,0.41259111638731255,396,292,2,128,355,471
Drone_23,0.4300483509044653,196,565,2,109,380,484
Drone_94,0.37874482268110515,352,874,2,111,435,486
Drone_83,0.3328151220671049,214,557,2,127,490,491
Drone_98,0.4379180053815362,728,497,2,126,390,503
Drone_87,0.36052425809646416,514,858,2,132,484,513
Drone_61,0.40757029723450316,447,754,2,187,437,537
Drone_7,0.33823044639223343,408,834,2,124,514,546
Drone_68,0.38943757137563173,850,513,2,149,463,547
Drone_54,0.377076593518583,214,567,2,127,490,564
Drone_74,0.4831942996474531,204,678,2,163,385,586
Drone_18,0.33478881762307755,718,127,2,123,537,592
Drone_71,0.4423656866092784,220,561,2,133,438,602
Drone_2,0.4969923516113974,210,594,2,126,385,613
Drone_50,0.4578569812731921,258,776,2,246,429,615
Drone_41,0.4967391299926047,780,162,2,73,389,642
Drone_95,0.4977598072701914,326,218,2,190,399,656
Drone_17,0.6670916627696567,506,794,2,181,233,658
Drone_37,0.4439583276927251,362,282,2,157,465,680
Drone_42,0.48649776881701556,710,496,2,134,422,682
Drone_45,0.8436601021416451,310,310,2,215,72,705
Drone_51,0.6315858910858647,822,524,2,149,285,705
Drone_62,0.5033592513569906,842,533,2,164,429,710
Drone_91,0.6096353775124106,265,547,2,178,321,713
Drone_29,0.7201865928229608,784,591,2,210,224,723
Drone_93,0.7389944828599584,335,133,2,210,208,724
Drone_63,0.6314083199311762,258,564,2,171,324,725
Drone_36,0.8248665626214999,346,140,2,197,137,731
Drone_96,0.4986476020831687,282,810,2,205,472,733
Drone_92,0.6642533492813899,308,282,2,210,307,750
Drone_59,0.4632664896739159,248,362,2,258,512,754
Drone_9,0.6274052164305285,844,543,2,174,348,764
Drone_32,0.7911518554106352,758,88,2,148,187,770
Drone_8,0.48330959269639767,768,144,2,91,502,779
Drone_77,0.5441764676428488,782,78,2,157,444,816
Drone_58,0.743853461467814,734,136,2,108,241,831
Drone_76,0.5565284112207981,768,129,2,106,433,832
Drone_1,0.43548989070716754,561,816,2,195,557,847
