id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_15,0.7366805210679843,5,62,2,40,0,0
Drone_6,0.7897404546455046,95,1,2,34,0,0
Drone_11,0.8018603498281816,85,84,2,40,0,0
Drone_4,0.8165987364971659,17,8,2,29,0,0
Drone_12,0.9146714428621616,95,10,2,31,0,0
Drone_7,0.7963852004590553,22,84,2,24,2,2
Drone_14,0.7563768103355647,24,20,2,15,10,10
Drone_1,0.6059576159198543,29,12,2,21,14,14
Drone_10,0.7083127420384216,27,76,2,18,22,22
Drone_8,0.5446777516870069,36,14,2,19,27,31
Drone_13,0.49871571927008873,85,38,2,27,32,34
Drone_2,0.39225574313614875,38,61,2,17,36,36
Drone_5,0.43296740439690795,27,15,2,18,39,39
Drone_3,0.3883988316116742,30,73,2,15,50,50
Drone_4,0.8099999999999998,29,14,2,19,51,51
Drone_12,0.8299999999999998,82,36,2,24,53,53
Drone_14,0.7949999999999998,27,14,2,19,55,55
Drone_9,0.48277138047103385,83,40,2,27,56,56
Drone_7,0.8249999999999998,21,64,2,27,59,59
Drone_6,0.7349999999999998,85,39,2,28,66,66
Drone_10,0.7299999999999998,24,77,2,21,67,67
Drone_11,0.6999999999999997,84,41,2,29,70,70
Drone_12,0.8299999999999998,82,35,2,23,83,83
Drone_1,0.5349999999999996,41,21,2,14,92,92
Drone_15,0.5599999999999996,30,76,1,15,93,93
Drone_8,0.5799999999999996,21,14,2,22,98,98
Drone_14,0.7899999999999998,39,14,2,19,104,104
Drone_6,0.7549999999999998,88,38,2,29,105,105
Drone_4,0.7549999999999998,31,17,2,16,109,109
Drone_13,0.49999999999999956,83,39,2,26,116,116
Drone_11,0.7099999999999997,85,42,2,30,119,119
Drone_12,0.8299999999999998,82,36,2,24,122,122
Drone_7,0.6499999999999997,35,74,2,10,125,125
Drone_10,0.6999999999999997,33,64,2,17,130,130
Drone_2,0.3249999999999994,35,72,2,11,139,139
Drone_9,0.49499999999999955,85,39,2,28,149,149
Drone_6,0.7449999999999998,82,42,2,28,149,149
Drone_4,0.7599999999999998,40,20,2,14,151,151
Drone_3,0.38499999999999945,30,73,2,15,153,153
Drone_1,0.6149999999999997,32,11,2,22,154,154
Drone_14,0.7249999999999998,31,21,2,12,154,156
Drone_15,0.5699999999999996,29,69,2,17,157,162
Drone_12,0.8699999999999999,58,51,2,29,176,176
Drone_8,0.5499999999999996,27,14,1,19,181,181
Drone_13,0.5349999999999996,86,39,2,29,190,190
Drone_10,0.6799999999999997,30,67,2,18,190,190
Drone_4,0.7799999999999998,38,17,2,16,190,190
Drone_11,0.5799999999999996,75,33,2,17,192,192
Drone_7,0.7049999999999997,30,68,2,17,193,193
Drone_6,0.7249999999999998,86,36,2,27,194,205
Drone_9,0.4549999999999995,84,36,2,25,225,225
