id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_54,0.6909008432184995,88,217,2,347,0,0
Drone_99,0.6931982526806517,29,569,2,58,0,0
Drone_76,0.6977818811044725,135,563,2,48,0,0
Drone_16,0.6992373108576464,495,284,2,45,0,0
Drone_20,0.699715934259317,133,687,2,131,0,0
Drone_84,0.70245856828892,997,462,2,232,0,0
Drone_59,0.7059463541135591,857,771,2,397,0,0
Drone_96,0.7118449247087941,375,100,2,200,0,0
Drone_41,0.7213145031350807,847,325,2,88,0,0
Drone_44,0.7316468121074486,137,330,2,239,0,0
Drone_51,0.7347123380713292,79,85,2,463,0,0
Drone_67,0.7360625618011523,265,191,2,255,0,0
Drone_48,0.7409467838704554,600,607,2,144,0,0
Drone_22,0.7421428946097448,519,75,2,168,0,0
Drone_53,0.7456094376160647,460,272,2,62,0,0
Drone_6,0.7473702013728067,385,213,2,133,0,0
Drone_83,0.7563412400827245,452,866,2,94,0,0
Drone_66,0.7568043687651689,265,114,2,281,0,0
Drone_28,0.7573098036090233,473,818,2,146,0,0
Drone_95,0.757514270074355,857,891,2,436,0,0
Drone_4,0.7635657422599452,286,106,2,266,0,0
Drone_11,0.767006334672797,678,198,2,106,0,0
Drone_12,0.7694324337236704,567,123,2,130,0,0
Drone_56,0.7706425762651332,353,623,2,121,0,0
Drone_97,0.7711828402719177,472,788,2,175,0,0
Drone_60,0.7722070872974077,722,925,2,297,0,0
Drone_8,0.7741165358185385,10,500,2,100,0,0
Drone_85,0.7755799610912938,351,822,2,154,0,0
Drone_72,0.7755903625627998,183,1,2,410,0,0
Drone_93,0.7768533855612162,325,80,2,250,0,0
Drone_96,0.7018449247087941,373,101,2,200,1,71
Drone_41,0.7113145031350807,845,323,2,87,1,71
Drone_44,0.7216468121074486,138,328,2,241,1,71
Drone_41,0.001314503135080216,714,181,2,83,72,72
Drone_44,0.011646812107448128,209,231,2,306,72,72
Drone_44,0.0016468121074481278,210,230,2,305,73,73
Drone_51,0.7247123380713292,79,86,2,463,1,73
Drone_48,0.7309467838704554,601,605,2,145,1,73
Drone_48,0.0009467838704549057,674,477,2,142,74,74
Drone_67,0.7260625618011523,264,192,2,256,1,74
Drone_22,0.7321428946097448,520,75,2,168,1,74
Drone_53,0.7356094376160647,458,271,2,63,1,75
Drone_6,0.7373702013728067,383,214,2,135,1,75
Drone_83,0.7463412400827245,453,864,2,96,1,75
Drone_95,0.747514270074355,855,890,2,434,1,75
Drone_66,0.7468043687651689,263,113,2,283,1,76
Drone_28,0.7473098036090233,474,816,2,148,1,76
Drone_4,0.7535657422599452,286,107,2,266,1,76
Drone_11,0.757006334672797,679,196,2,106,1,76
Drone_12,0.7594324337236704,568,123,2,131,1,76
Drone_56,0.7606425762651332,351,622,2,122,1,77
Drone_11,0.002006334672796448,764,95,1,140,77,77
Drone_60,0.7622070872974077,720,924,2,295,1,77
Drone_8,0.7641165358185384,11,500,2,99,1,77
Drone_85,0.7655799610912938,350,820,2,156,1,77
Drone_72,0.7655903625627998,183,2,2,410,1,77
Drone_97,0.7611828402719177,470,788,2,174,1,77
Drone_93,0.7668533855612162,323,81,2,251,1,77
Drone_64,0.7813341617317502,70,376,2,188,0,78
Drone_88,0.7824201003563497,44,787,2,227,0,78
