id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_7,0.6916441771402517,31,3,2,30,4,4
Drone_3,0.6457933956701848,21,67,2,26,13,13
Drone_1,0.7657020848372581,77,54,2,37,18,18
Drone_5,0.7661551013146815,77,56,2,38,18,18
Drone_4,0.6537588586134185,85,36,2,26,23,23
Drone_2,0.6311276521000807,23,67,2,24,29,29
Drone_10,0.5158604663284425,39,65,2,13,34,34
Drone_8,0.6002398891140168,28,12,2,21,34,34
Drone_9,0.6136494670861449,24,70,2,22,34,34
Drone_6,0.606881793236653,42,14,1,21,40,40
Drone_4,0.6799999999999997,82,42,1,28,72,72
Drone_1,0.6499999999999997,82,38,2,25,79,79
Drone_5,0.6799999999999997,85,39,1,28,81,81
Drone_7,0.5699999999999996,27,17,1,17,86,86
Drone_3,0.5799999999999996,30,65,2,19,88,88
Drone_8,0.6299999999999997,24,11,1,23,93,93
Drone_10,0.5899999999999996,28,68,2,19,98,98
Drone_9,0.5899999999999996,30,64,2,19,101,101
Drone_2,0.5499999999999996,30,71,2,16,107,107
Drone_6,0.6149999999999997,36,11,2,22,108,108
Drone_4,0.6749999999999997,82,42,2,28,122,122
Drone_5,0.6699999999999997,86,38,2,28,131,131
Drone_1,0.6599999999999997,82,39,1,26,132,132
Drone_7,0.5699999999999996,25,18,2,17,151,151
Drone_8,0.5949999999999996,43,14,2,21,162,162
Drone_3,0.5099999999999996,34,75,2,11,166,166
Drone_4,0.6799999999999997,88,36,2,28,173,173
Drone_2,0.5649999999999996,30,67,2,18,178,178
Drone_1,0.6799999999999997,88,36,1,28,181,181
Drone_6,0.5899999999999996,33,14,2,19,182,182
Drone_10,0.4599999999999995,39,74,2,6,185,185
Drone_5,0.6599999999999997,84,40,2,28,188,188
Drone_9,0.48499999999999954,35,77,2,10,191,191
Drone_7,0.5599999999999996,33,17,2,16,216,216
Drone_4,0.6999999999999997,88,39,1,30,222,222
Drone_8,0.6199999999999997,36,11,1,22,224,224
Drone_1,0.6949999999999997,85,42,2,30,229,229
Drone_3,0.5099999999999996,37,69,2,11,239,239
Drone_10,0.6149999999999997,22,69,2,24,239,239
Drone_5,0.6899999999999997,87,39,2,29,240,240
Drone_6,0.5799999999999996,38,14,2,19,243,243
Drone_2,0.5899999999999996,34,61,2,19,248,248
Drone_9,0.5399999999999996,31,74,2,14,269,269
Drone_7,0.5849999999999996,31,13,2,20,272,272
Drone_4,0.6649999999999997,85,38,2,27,274,274
Drone_1,0.6799999999999997,85,40,2,29,280,280
Drone_8,0.6049999999999996,27,11,2,22,283,283
Drone_5,0.6749999999999997,84,40,2,28,292,292
Drone_3,0.5999999999999996,24,70,2,22,307,307
Drone_2,0.6599999999999997,21,67,1,26,310,310
Drone_6,0.5199999999999996,35,19,2,14,314,314
Drone_10,0.5849999999999996,29,66,2,19,317,317
Drone_4,0.6649999999999997,88,36,2,28,328,328
Drone_1,0.6649999999999997,82,41,2,27,334,334
Drone_9,0.5799999999999996,27,79,1,18,341,341
Drone_7,0.5949999999999996,45,16,2,20,344,344
Drone_8,0.6099999999999997,43,11,2,23,352,352
Drone_5,0.6349999999999997,84,37,2,26,354,354
Drone_4,0.7099999999999997,88,42,2,32,375,375
Drone_2,0.5749999999999996,31,62,2,20,384,384
Drone_6,0.6099999999999997,22,14,2,21,384,384
Drone_1,0.6749999999999997,86,39,2,29,387,387
Drone_3,0.49999999999999956,36,70,2,11,388,388
Drone_10,0.48499999999999954,34,77,2,11,406,406
Drone_9,0.5199999999999996,33,73,2,12,407,407
Drone_5,0.6999999999999997,88,39,1,30,408,408
Drone_7,0.5599999999999996,34,15,2,18,409,409
Drone_8,0.5449999999999996,39,19,2,15,422,422
Drone_4,0.6799999999999997,82,42,1,28,426,426
Drone_1,0.6949999999999997,85,42,2,30,439,439
Drone_2,0.6099999999999997,24,76,2,21,448,448
Drone_6,0.6349999999999997,21,12,2,24,450,450
Drone_3,0.6049999999999996,22,77,2,23,457,457
Drone_5,0.6449999999999997,85,36,2,26,461,461
Drone_4,0.6949999999999997,88,39,2,30,474,474
Drone_9,0.5749999999999996,28,69,2,18,475,475
Drone_7,0.5249999999999996,35,20,2,13,476,476
Drone_10,0.5649999999999996,39,61,2,17,481,481
Drone_8,0.5799999999999996,30,15,2,18,490,490
Drone_1,0.6749999999999997,85,39,2,28,490,490
