id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_1,0.6252393910891633,12,12,1,23,33,33
Drone_3,0.5999036815055603,12,13,2,22,38,38
Drone_2,0.5714224793858259,13,17,2,18,41,58
Drone_4,0.6060410055351967,17,12,1,21,39,66
Drone_1,0.5799999999999996,12,17,2,18,105,105
Drone_3,0.5949999999999996,17,12,2,21,110,110
Drone_2,0.5799999999999996,12,15,2,20,134,134
Drone_4,0.6049999999999996,12,12,2,23,136,137
Drone_1,0.5699999999999996,14,16,2,18,172,172
Drone_3,0.5749999999999996,12,17,2,18,184,184
