target,prediction
1,2.2076328
25,19.099468
33,27.30772
14,29.047321
1,2.2103012
24,20.738516
32,29.286648
38,33.05108
42,38.187363
1,2.2103012
23,21.766603
25,27.660217
33,33.706894
34,38.251972
1,2.2103012
24,21.454868
33,29.827103
37,34.46566
41,38.257854
1,2.2103012
23,21.823545
25,27.264061
33,33.883446
42,41.72349
1,2.2103012
24,21.454868
27,27.732563
36,33.706894
42,40.4471
1,4.2340994
1,4.4939528
1,2.2076328
25,20.16969
32,27.704502
13,28.017832
1,2.2103012
24,20.847147
33,29.363262
39,33.05108
43,38.151882
1,2.2103012
23,21.937855
24,27.87783
31,33.883446
32,39.412968
1,2.2103012
23,21.766603
27,27.192944
37,33.81504
41,38.128803
1,2.2103012
23,21.823545
27,27.87783
35,33.883446
38,40.018543
1,2.2103012
23,21.937855
25,27.805098
30,33.795055
37,41.69053
1,4.2340994
1,4.4822283
1,2.2076328
25,18.975418
32,27.849615
13,29.123053
1,2.2103012
23,23.227808
29,27.660217
37,32.28311
43,39.6028
1,2.2103012
23,21.343065
26,27.051247
34,33.706894
38,38.929813
1,2.2103012
23,21.398893
27,27.051247
35,33.795055
37,38.76018
1,2.2103012
22,21.766603
24,27.660217
31,34.196625
41,41.210537
1,2.2103012
23,21.343065
29,26.663837
37,33.992176
39,37.313946
1,4.2340994
1,4.4219093
1,2.2076328
24,18.697205
30,27.776964
8,23.026945
1,2.2103012
24,9.7286
32,26.736689
39,32.96486
46,40.380524
1,2.2103012
23,21.454868
25,27.87783
33,33.96261
33,39.272438
1,2.2103012
23,21.343065
32,29.029778
39,34.555805
43,38.87596
1,2.2103012
22,21.766603
26,27.805098
34,34.196625
41,40.97038
1,2.2103012
23,21.454868
27,27.732563
34,34.196625
40,39.734722
1,4.2340994
1,4.3391623
1,2.2076328
25,18.930843
34,27.307713
16,28.862188
1,2.2103012
24,20.792763
33,29.594265
40,33.137527
46,39.26676
1,2.2103012
23,21.880625
26,27.732563
34,33.883446
38,40.17347
1,2.2103012
23,21.766603
26,27.660217
35,33.618946
41,38.554127
1,2.2103012
24,21.454868
27,27.660217
37,33.618946
41,40.76924
1,2.2103012
23,21.880625
25,28.356897
33,34.28607
36,36.9281
1,4.2340994
1,4.4822288
