target,prediction
1,4.2218204
10,15.197933
21,18.371237
20,16.718002
31,20.89898
1,4.597191
23,16.467037
26,15.20508
24,16.73711
1,4.2211328
7,16.667545
6,15.2389
22,18.423899
4,13.573712
1,4.515289
19,16.667545
1,4.9576054
15,13.907771
4,13.573712
1,4.515289
16,15.2389
6,16.467037
6,16.667545
30,15.5604925
1,4.515289
1,3.9201021
15,12.760227
1,3.918777
6,12.737549
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,4.1125007
17,15.197933
12,14.942334
23,18.67924
33,17.427645
1,4.9576054
22,16.667545
25,15.20508
32,19.075914
1,4.2211328
1,4.597191
16,16.667545
28,16.73711
16,15.20508
11,16.467037
1,4.2211328
7,15.2389
22,16.73711
32,16.945814
33,20.613293
1,4.515289
11,16.467037
29,17.049805
33,15.5604925
2,13.573712
1,3.9201021
15,12.760227
1,3.918777
1,3.918777
1,3.918777
8,12.737549
1,3.918777
3,12.737549
1,3.918777
1,3.918777
1,4.516022
10,16.684797
25,15.579259
35,5.985049
31,19.03332
2,16.467037
5,13.907771
20,16.73711
28,17.049805
14,16.467037
1,5.0344996
28,13.573712
34,18.423899
41,17.409615
29,16.983492
1,4.9576054
10,13.907771
21,16.73711
23,17.049805
1,4.11183
14,16.467037
19,18.64824
6,15.2389
8,14.959415
11,16.667545
1,3.9238565
14,12.743463
1,3.918777
7,12.737549
1,3.918777
2,12.737549
1,3.918777
3,12.737549
1,3.918777
1,3.918777
1,3.0791323
6,14.919202
13,16.648518
22,15.576599
23,15.171141
6,16.467037
22,16.667545
1,4.2211328
1,4.515289
23,13.573712
34,18.64824
23,17.049805
14,16.402998
20,15.5604925
1,4.515289
1,4.9576054
15,13.573712
17,15.5604925
14,17.049805
9,14.959415
1,4.597191
24,13.907771
35,15.20508
46,20.864283
55,22.738703
1,3.9238565
14,12.743463
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,4.516022
10,16.684797
30,17.00397
20,15.187721
28,15.586372
5,16.467037
13,15.2389
25,18.64824
1,4.2211328
10,16.467037
25,15.20508
16,17.049805
1,4.9576054
28,13.907771
14,5.524861
29,17.049805
25,16.73711
1,4.11183
17,16.467037
1,4.515289
3,15.2389
23,13.907771
7,16.467037
14,13.573712
17,18.64824
1,3.9238565
14,12.743463
1,3.918777
3,12.737549
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,3.918777
1,3.918777
