target,prediction
1,8.149164
1,7.2518024
374,83.88767
108,87.62379
99,81.63853
49,73.21433
101,85.726776
223,156.1377
86,115.65265
38,55.391953
116,149.89633
95,88.50744
102,81.94504
81,73.21088
66,62.086025
146,150.26088
32,38.538933
1,5.5723596
108,115.65265
133,92.838936
1,5.5728493
46,45.416634
77,62.086025
108,142.77573
19,34.76801
97,115.65265
87,117.741295
28,39.49456
1,8.149164
136,92.838936
46,45.41218
97,115.65265
137,150.26088
116,150.26088
10,34.76801
11,41.725273
85,115.65265
88,86.055855
125,150.26088
1,7.378465
126,81.94504
120,115.65265
134,117.69802
46,45.41912
122,94.850716
138,188.84529
75,66.25627
47,45.415215
1,5.5723596
73,86.055855
103,115.65265
105,115.65265
31,38.99573
1,7.378465
113,84.03464
123,92.059685
96,88.24948
3,34.76801
82,115.65265
1,5.5761247
89,115.65265
46,45.415215
59,58.550186
12,34.76801
113,81.94504
112,150.26088
37,55.391953
30,48.633606
46,45.416634
126,116.68879
95,115.65265
119,150.26088
110,91.258766
108,115.65265
1,5.5723596
116,84.03464
103,115.65265
224,153.57846
1,7.8663745
31,37.96543
116,81.94504
23,34.76801
46,45.41912
132,84.03464
27,39.505203
1,5.582317
27,39.004906
49,73.21838
1,5.574619
86,73.209236
110,81.94504
100,115.65265
107,84.03464
77,55.391953
94,115.65265
1,5.574619
94,116.143394
74,55.391953
38,33.57529
1,5.582317
137,117.69802
1,6.742363
41,62.494194
86,73.21088
96,115.65265
127,117.69802
123,150.26088
1,7.8663745
100,115.65265
90,73.212906
72,62.086025
1,5.5723596
