target,prediction
1,5.477311
26,19.361284
34,20.506544
48,33.45053
48,41.278503
1,4.4785333
18,21.262716
27,24.98604
40,29.968668
45,45.544792
1,5.333437
29,20.392672
42,24.861597
55,29.025446
41,42.023743
1,5.333437
29,20.978209
42,28.559427
55,30.401064
1,5.333437
28,19.54842
38,24.410486
50,34.005535
1,5.2607102
1,4.2923403
11,18.60292
1,4.281539
8,18.590002
1,4.281539
4,18.590002
1,4.281539
13,18.590002
1,4.281539
6,18.590002
1,4.571223
19,16.742022
32,26.721788
44,30.221607
59,43.689987
23,24.341694
33,35.663147
29,33.140553
42,41.662975
43,45.544792
33,36.506115
43,45.544792
4,23.07164
23,21.02023
35,24.24662
42,31.416218
19,26.933779
1,5.2607102
28,22.382832
39,24.694696
47,33.488358
42,42.023743
17,28.752434
3,20.031158
29,26.537092
7,19.400959
15,26.933779
1,5.2607102
28,18.93038
1,4.2923403
13,18.60292
1,4.281539
1,4.281539
10,18.590002
1,4.281539
1,4.281539
1,4.281539
1,4.281539
1,4.8425612
21,16.923677
34,26.90239
46,30.482933
22,24.439714
20,24.341694
17,26.933779
7,21.02023
14,23.07164
3,22.775023
8,19.400959
19,26.752974
9,21.02023
19,23.742056
1,5.333437
29,20.627632
42,28.36771
18,24.341694
30,30.614208
1,4.853853
23,22.775023
25,26.933779
37,30.816927
51,45.153793
1,4.853853
23,21.119986
36,23.372587
1,4.2923403
13,18.60292
1,4.281539
12,18.590002
1,4.281539
2,18.590002
1,4.281539
1,4.281539
1,4.281539
1,4.281539
1,4.281539
1,5.477311
27,19.71909
33,20.4806
44,33.45053
16,24.439714
17,29.1269
29,28.59534
7,21.02023
21,29.1269
17,28.752434
1,4.9300966
23,23.07164
33,26.270325
2,19.826153
18,19.270721
2,22.775023
27,21.334446
1,5.333437
29,20.599747
43,23.541
39,36.506115
30,30.720592
10,21.334446
23,29.1269
33,28.378433
44,39.81813
1,5.2607102
28,20.0924
1,4.2923403
11,18.60292
1,4.281539
10,18.590002
1,4.281539
14,18.590002
1,4.281539
6,18.590002
1,4.281539
11,18.590002
1,5.2686214
27,20.994791
34,20.506544
48,33.45053
58,35.785507
3,21.334446
24,23.393108
31,24.945475
21,24.410486
31,36.869
1,5.333437
29,20.53049
29,26.933779
17,24.410486
28,31.083776
1,4.853853
23,22.534101
25,24.945475
34,34.005535
43,33.93231
8,22.775023
26,29.1269
4,21.334446
5,21.02023
14,19.400959
17,24.945475
10,21.334446
21,28.752434
1,4.2923403
13,18.60292
1,4.281539
15,18.400705
1,4.281539
14,18.590002
1,4.281539
12,18.589996
1,4.281539
15,18.26392
