Active Drones,Total Damage,Energy Consumed
5,341,15.199999999999976
5,373,15.359999999999978
5,342,15.119999999999983
5,297,14.63999999999998
5,491,15.359999999999985
5,327,15.079999999999984
5,404,14.919999999999987
4,364,14.240000000000002
5,456,15.199999999999985
4,440,14.479999999999997
3,839,11.239999999999995
0,1232,5.760000000000003
0,1171,4.160000000000002
2,1040,7.520000000000005
2,667,10.600000000000009
2,652,11.72000000000001
3,863,10.760000000000009
1,883,5.840000000000003
0,1377,4.920000000000003
2,943,7.400000000000005
2,955,10.720000000000008
0,1113,4.600000000000002
3,628,12.359999999999996
2,900,8.280000000000005
2,972,7.800000000000005
1,644,9.920000000000007
3,807,9.399999999999997
2,945,11.160000000000007
3,947,9.75999999999999
0,1070,4.720000000000002
