target,prediction
1,0.9697836
31,22.43509
42,33.270523
55,67.5039
20,49.515835
3,15.70287
29,32.69203
36,33.21942
1,1.4966205
1,1.5076362
25,21.636425
33,32.521408
48,49.50311
1,1.5596223
29,22.100191
42,33.143826
1,1.5596223
29,22.434692
42,32.510506
56,48.62522
1,1.4289757
16,21.290102
1,1.4292527
16,21.289488
1,1.4292527
16,21.293343
1,1.4292527
1,1.4292527
1,1.5062935
25,15.989464
32,22.319445
44,48.591614
56,68.09225
21,33.727947
1,1.5076362
25,22.394308
36,32.521408
51,47.991955
66,69.45396
1,1.4966205
24,22.109926
37,32.272633
52,49.5636
1,1.5076362
25,22.429163
34,33.753872
47,47.716602
1,1.5697747
30,22.037037
44,32.36451
1,1.4289757
16,21.255487
1,1.4292527
16,21.277945
1,1.4292527
11,21.304893
1,1.4292527
16,21.281784
1,1.4292527
1,0.96639407
30,22.396797
42,33.273052
56,67.868355
20,49.515835
4,15.70287
28,32.69203
32,33.21942
1,1.5596223
29,22.43546
41,32.29099
42,47.991955
1,1.4966205
24,22.43546
34,33.27852
28,47.65571
23,33.128456
1,1.5076362
25,21.531929
34,32.69203
47,48.56018
4,22.429163
1,1.4289757
16,21.290102
1,1.4292527
14,21.304893
1,1.4292527
16,21.301039
1,1.4292527
1,1.4292527
1,0.9697836
31,15.492717
43,33.757343
56,48.674786
1,1.4966205
24,22.396818
36,33.27852
52,47.327866
5,22.429163
1,1.4966205
24,21.568655
34,32.69203
46,49.515835
1,1.4966205
24,22.103437
36,32.57291
50,47.557552
1,1.5076362
25,22.03586
31,32.521408
44,47.942528
1,1.4289757
16,21.290102
1,1.4292527
11,21.304893
1,1.4292527
14,21.304893
1,1.4292527
12,21.304893
1,1.4292527
1,0.95788926
21,22.429415
31,22.534355
43,31.120356
57,68.12047
1,1.5596223
29,22.033802
42,32.68148
56,69.44137
1,1.5076362
25,21.544937
38,33.119865
52,47.590183
1,1.458885
20,22.394575
31,33.290977
42,48.11818
1,1.5076362
25,22.43534
31,32.69203
44,47.327866
1,1.4289757
16,21.255487
1,1.4292527
9,21.304893
1,1.4292527
16,21.285637
1,1.4292527
10,21.304893
1,1.4292527
