target,prediction
68,73.59319
1,1.199494
20,31.369356
76,73.59319
30,27.666338
1,0.846823
19,23.011255
14,24.882446
34,40.880116
2,14.329781
1,0.8037839
38,28.789146
80,73.59319
83,73.59319
55,40.1671
1,0.9641521
21,26.441488
21,25.751194
1,0.8314075
30,29.317764
1,0.9641521
55,41.152763
23,31.369356
54,40.766872
59,63.37478
1,0.8037839
1,0.8037839
56,38.698368
3,14.329781
1,0.8037839
55,43.705467
37,40.880116
1,0.8037839
30,27.42271
51,37.697945
1,0.9731932
30,40.880116
24,40.880116
37,28.354742
30,30.814413
73,73.59319
28,24.52079
1,0.9641521
1,0.8037839
1,1.2227943
30,17.41197
1,0.8037839
1,0.8037839
1,0.8037839
56,59.477608
51,38.21495
2,15.112991
65,43.733173
4,16.004807
44,51.69211
19,23.066273
1,0.9641521
1,0.8037839
14,24.629025
1,0.846823
1,0.9731932
19,18.683292
50,38.001892
29,17.181278
42,26.255472
37,28.354742
52,60.90515
8,14.329781
29,15.63337
19,17.51027
30,28.811455
9,15.802186
1,0.8037839
1,0.8037839
87,73.59319
22,40.880116
42,27.154564
82,73.59319
42,29.959194
80,73.59319
1,0.9731932
36,39.28152
20,17.330357
1,1.2335505
77,73.59319
41,25.429306
36,27.924988
83,73.59319
1,0.8037839
1,1.199494
30,40.006992
49,38.38057
8,14.329781
19,18.641405
35,49.597595
1,0.9641521
46,37.82786
8,26.441488
56,52.293346
29,18.923656
5,14.329781
44,37.82786
29,16.210499
1,0.900001
30,39.031086
40,40.880116
30,40.880116
40,56.589737
29,28.215027
16,14.823009
1,0.9731932
54,47.010303
20,22.440798
32,38.31325
17,26.234074
29,18.170858
1,0.8037839
44,42.73185
39,28.789146
16,15.185803
33,25.751194
80,73.59319
1,0.8450627
38,53.387543
16,14.609498
1,0.9641521
84,73.59319
41,47.033745
18,26.441488
60,43.80033
1,0.82872003
42,26.707726
1,0.8037839
30,17.406782
1,0.8037839
79,73.59319
42,51.143707
71,73.59319
49,37.60575
43,47.133373
16,26.441488
47,37.82786
18,26.441488
56,40.69821
