Active Drones,Total Damage,Energy Consumed
5,245,14.71999999999997
3,1210,10.560000000000008
3,845,9.760000000000007
5,347,15.039999999999967
6,308,15.799999999999955
3,664,12.280000000000008
4,841,11.320000000000007
5,247,14.919999999999973
5,368,14.679999999999959
5,330,14.199999999999969
3,1061,10.680000000000007
4,1521,10.51999999999997
5,416,14.119999999999969
5,264,13.99999999999999
3,1109,10.600000000000009
3,724,9.680000000000007
4,817,11.47999999999999
6,320,15.919999999999952
2,1099,8.960000000000006
2,1201,9.720000000000006
4,752,12.27999999999999
5,247,14.87999999999997
6,152,15.759999999999948
5,262,13.23999999999997
4,773,12.559999999999985
3,783,10.680000000000007
6,368,16.07999999999995
4,622,12.599999999999984
6,284,15.759999999999952
5,344,14.279999999999967
