timestep,allDrones,chargingDrones,deadDrones,allBirds,eatingBirds,allChargers,idleChargers,energyConsumed,damageRate
0,7,0,0,10,0,3,3,0,0.0
1,7,0,0,10,0,3,3,0,0.0
2,7,0,0,10,0,3,3,0,0.0
3,7,0,0,10,0,3,3,0,0.0
4,7,0,0,10,0,3,3,0,0.0
5,7,0,0,10,0,3,3,0,0.0
6,7,0,0,10,0,3,3,0,0.0
7,7,0,0,10,0,3,3,0,0.0
8,7,0,0,10,0,3,3,0,0.0
9,7,0,0,10,0,3,3,0,0.0
10,7,0,0,10,0,3,3,0,0.0
11,7,0,0,10,0,3,3,0,0.0
12,7,0,0,10,0,3,3,0,0.0
13,7,0,0,10,0,3,3,0,0.0
14,7,0,0,10,0,3,3,0,0.0
15,7,0,0,10,0,3,3,0,0.0
16,7,0,0,10,2,3,3,0,0.05555555555555555
17,7,0,0,10,1,3,3,0,0.027777777777777776
18,7,0,0,10,1,3,3,0,0.027777777777777776
19,7,0,0,10,1,3,3,0,0.027777777777777776
20,7,0,0,10,1,3,3,0,0.027777777777777776
21,7,0,0,10,1,3,3,0,0.027777777777777776
22,7,0,0,10,1,3,3,0,0.027777777777777776
23,7,0,0,10,2,3,3,0,0.05555555555555555
24,7,0,0,10,2,3,3,0,0.05555555555555555
25,7,0,0,10,1,3,3,0,0.027777777777777776
26,7,0,0,10,1,3,3,0,0.027777777777777776
27,7,0,0,10,1,3,3,0,0.027777777777777776
28,7,0,0,10,1,3,3,0,0.027777777777777776
29,7,0,0,10,1,3,3,0,0.027777777777777776
30,7,0,0,10,2,3,3,0,0.05555555555555555
31,7,0,0,10,1,3,3,0,0.027777777777777776
32,7,0,0,10,0,3,3,0,0.0
33,7,0,0,10,0,3,3,0,0.0
34,7,0,0,10,0,3,3,0,0.0
35,7,0,0,10,0,3,3,0,0.0
36,7,0,0,10,0,3,3,0,0.0
37,7,0,0,10,0,3,3,0,0.0
38,7,0,0,10,0,3,3,0,0.0
39,7,0,0,10,0,3,3,0,0.0
40,7,0,0,10,0,3,3,0,0.0
41,7,0,0,10,0,3,3,0,0.0
42,7,0,0,10,0,3,3,0,0.0
43,7,0,0,10,1,3,2,0.1,0.027777777777777776
44,7,0,0,10,1,3,2,0.1,0.027777777777777776
45,7,0,0,10,1,3,2,0.1,0.027777777777777776
46,7,0,0,10,1,3,2,0.1,0.027777777777777776
47,7,0,0,10,1,3,2,0.1,0.027777777777777776
48,7,0,0,10,0,3,2,0.1,0.0
49,7,0,0,10,0,3,2,0.1,0.0
50,7,0,0,10,0,3,2,0.1,0.0
51,7,0,0,10,0,3,1,0.2,0.0
52,7,0,0,10,0,3,1,0.2,0.0
53,7,1,0,10,0,3,1,0.2,0.0
54,7,1,0,10,1,3,1,0.2,0.027777777777777776
55,7,1,0,10,1,3,1,0.2,0.027777777777777776
56,7,1,0,10,1,3,1,0.2,0.027777777777777776
57,7,1,0,10,2,3,1,0.2,0.05555555555555555
58,7,1,0,10,2,3,1,0.2,0.05555555555555555
59,7,1,0,10,2,3,1,0.2,0.05555555555555555
60,7,1,0,10,3,3,1,0.2,0.08333333333333333
61,7,1,0,10,2,3,1,0.2,0.05555555555555555
62,7,1,0,10,0,3,1,0.2,0.0
63,7,1,0,10,0,3,1,0.2,0.0
64,7,1,0,10,0,3,1,0.2,0.0
65,7,1,0,10,0,3,1,0.2,0.0
66,7,1,0,10,0,3,1,0.2,0.0
67,7,2,0,10,0,3,1,0.2,0.0
68,7,2,0,10,0,3,1,0.2,0.0
69,7,2,0,10,0,3,1,0.2,0.0
70,7,2,0,10,0,3,1,0.2,0.0
71,7,2,0,10,1,3,1,0.2,0.027777777777777776
72,7,2,0,10,2,3,1,0.2,0.05555555555555555
73,7,2,0,10,2,3,1,0.2,0.05555555555555555
74,7,2,0,10,2,3,1,0.2,0.05555555555555555
75,7,2,0,10,2,3,1,0.2,0.05555555555555555
76,7,2,0,10,2,3,1,0.2,0.05555555555555555
77,7,2,0,10,2,3,1,0.2,0.05555555555555555
78,7,2,0,10,2,3,1,0.2,0.05555555555555555
79,7,2,0,10,2,3,1,0.2,0.05555555555555555
80,7,2,0,10,2,3,1,0.2,0.05555555555555555
81,7,2,0,10,1,3,1,0.2,0.027777777777777776
82,7,2,0,10,2,3,1,0.2,0.05555555555555555
83,7,2,0,10,1,3,1,0.2,0.027777777777777776
84,7,2,0,10,1,3,1,0.2,0.027777777777777776
85,7,2,0,10,1,3,1,0.2,0.027777777777777776
86,7,2,0,10,1,3,1,0.2,0.027777777777777776
87,7,2,0,10,2,3,1,0.2,0.05555555555555555
88,7,2,0,10,2,3,1,0.2,0.05555555555555555
89,7,2,0,10,2,3,1,0.2,0.05555555555555555
90,7,2,0,10,2,3,1,0.2,0.05555555555555555
91,7,2,0,10,1,3,1,0.2,0.027777777777777776
92,7,2,0,10,0,3,1,0.2,0.0
93,7,2,0,10,0,3,1,0.2,0.0
94,7,2,0,10,0,3,1,0.2,0.0
95,7,2,0,10,0,3,1,0.2,0.0
96,7,2,0,10,0,3,1,0.2,0.0
97,7,2,0,10,0,3,0,0.30000000000000004,0.0
98,7,2,0,10,0,3,0,0.30000000000000004,0.0
99,7,2,0,10,0,3,0,0.30000000000000004,0.0
100,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
101,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
102,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
103,7,3,0,10,2,3,0,0.30000000000000004,0.05555555555555555
104,7,3,0,10,2,3,0,0.30000000000000004,0.05555555555555555
105,7,2,0,10,2,3,0,0.30000000000000004,0.05555555555555555
106,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
107,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
108,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
109,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
110,7,3,0,10,0,3,0,0.30000000000000004,0.0
111,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
112,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
113,7,3,0,10,2,3,0,0.30000000000000004,0.05555555555555555
114,7,3,0,10,2,3,0,0.30000000000000004,0.05555555555555555
115,7,2,0,10,2,3,0,0.30000000000000004,0.05555555555555555
116,7,3,0,10,2,3,0,0.30000000000000004,0.05555555555555555
117,7,3,0,10,2,3,0,0.30000000000000004,0.05555555555555555
118,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
119,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
120,7,3,0,10,2,3,0,0.30000000000000004,0.05555555555555555
121,7,2,0,10,1,3,0,0.30000000000000004,0.027777777777777776
122,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
123,7,2,0,10,1,3,0,0.30000000000000004,0.027777777777777776
124,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
125,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
126,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
127,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
128,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
129,7,3,0,10,1,3,0,0.30000000000000004,0.027777777777777776
130,7,3,0,10,0,3,0,0.30000000000000004,0.0
131,7,3,0,10,0,3,0,0.30000000000000004,0.0
132,7,3,0,10,0,3,0,0.30000000000000004,0.0
133,7,3,0,10,0,3,0,0.30000000000000004,0.0
134,7,2,1,10,0,3,0,0.30000000000000004,0.0
135,7,2,1,10,0,3,0,0.30000000000000004,0.0
136,7,2,1,10,0,3,0,0.30000000000000004,0.0
137,7,2,1,10,0,3,0,0.30000000000000004,0.0
138,7,1,1,10,0,3,1,0.2,0.0
139,7,1,1,10,0,3,1,0.2,0.0
140,7,1,1,10,1,3,1,0.2,0.027777777777777776
141,7,1,1,10,0,3,1,0.2,0.0
142,7,1,1,10,0,3,1,0.2,0.0
143,7,1,1,10,0,3,1,0.2,0.0
