timestep,protectingDrones,chargingDrones,deadDrones,allBirds,eatingBirds,allChargers,idleChargers,energyConsumed,damageRate
0,7,0,0,10,0,3,0,0.6000000000000001,0.0
1,7,0,0,10,0,3,0,0.6000000000000001,0.0
2,7,0,0,10,0,3,0,0.6000000000000001,0.0
3,7,0,0,10,0,3,0,0.6000000000000001,0.0
4,7,0,0,10,0,3,0,0.6000000000000001,0.0
5,7,0,0,10,0,3,0,0.6000000000000001,0.0
6,7,0,0,10,0,3,0,0.6000000000000001,0.0
7,7,0,0,10,0,3,0,0.6000000000000001,0.0
8,7,0,0,10,0,3,0,0.6000000000000001,0.0
9,7,0,0,10,0,3,0,0.6000000000000001,0.0
10,7,0,0,10,0,3,0,0.6000000000000001,0.0
11,7,0,0,10,0,3,0,0.6000000000000001,0.0
12,7,0,0,10,1,3,0,0.6000000000000001,0.1
13,7,0,0,10,1,3,0,0.6000000000000001,0.2
14,7,0,0,10,1,3,0,0.6000000000000001,0.3
15,7,0,0,10,1,3,0,0.6000000000000001,0.4
16,7,0,0,10,0,3,0,0.6000000000000001,0.5
17,7,0,0,10,0,3,0,0.6000000000000001,0.5
18,7,0,0,10,0,3,0,0.6000000000000001,0.5
19,7,0,0,10,0,3,0,0.6000000000000001,0.5
20,7,0,0,10,1,3,0,0.6000000000000001,0.6
21,7,0,0,10,1,3,0,0.6000000000000001,0.7
22,7,0,0,10,1,3,0,0.6000000000000001,0.8
23,7,0,0,10,0,3,0,0.6000000000000001,0.9
24,6,0,0,10,0,3,0,0.6000000000000001,0.9
25,6,0,0,10,0,3,0,0.6000000000000001,0.9
26,6,0,0,10,0,3,0,0.6000000000000001,0.9
27,6,0,0,10,0,3,0,0.6000000000000001,0.9
28,6,0,0,10,0,3,0,0.6000000000000001,0.9
29,6,0,0,10,0,3,0,0.6000000000000001,1.0
30,6,0,0,10,1,3,0,0.6000000000000001,1.1
31,5,0,0,10,1,3,0,0.6000000000000001,1.2
32,5,0,0,10,2,3,0,0.6000000000000001,1.4
33,5,0,0,10,2,3,0,0.6000000000000001,1.6
34,5,0,0,10,3,3,0,0.6000000000000001,1.9
35,5,0,0,10,2,3,0,0.6000000000000001,2.2
36,5,0,0,10,0,3,0,0.6000000000000001,2.4
37,5,0,0,10,0,3,0,0.6000000000000001,2.4
38,4,0,0,10,0,3,0,0.6000000000000001,2.4
39,4,0,0,10,1,3,0,0.6000000000000001,2.5
40,4,0,0,10,0,3,0,0.6000000000000001,2.5
41,4,0,0,10,0,3,0,0.6000000000000001,2.5
42,2,0,0,10,1,3,0,0.6000000000000001,2.6
43,2,0,0,10,1,3,0,0.6000000000000001,2.7
44,2,0,0,10,1,3,0,0.6000000000000001,2.8
45,2,0,0,10,1,3,0,0.6000000000000001,2.9
46,2,0,0,10,0,3,0,0.6000000000000001,3.0
47,2,0,0,10,0,3,0,0.6000000000000001,3.0
48,1,0,0,10,0,3,0,0.6000000000000001,3.0
49,1,0,0,10,0,3,0,0.6000000000000001,3.0
50,1,0,0,10,0,3,0,0.6000000000000001,3.0
51,0,0,0,10,0,3,0,0.6000000000000001,3.0
52,0,0,0,10,0,3,0,0.6000000000000001,3.0
53,0,0,0,10,0,3,0,0.6000000000000001,3.0
54,0,0,0,10,0,3,0,0.6000000000000001,3.0
55,0,0,0,10,0,3,0,0.6000000000000001,3.0
56,0,0,0,10,0,3,0,0.6000000000000001,3.0
57,0,0,0,10,1,3,0,0.6000000000000001,3.1
58,0,0,0,10,1,3,0,0.6000000000000001,3.2
59,0,0,0,10,1,3,0,0.6000000000000001,3.3
60,0,1,0,10,1,3,0,0.6000000000000001,3.4
61,0,1,0,10,1,3,0,0.6000000000000001,3.5
62,0,1,0,10,1,3,0,0.6000000000000001,3.6
63,0,1,0,10,0,3,1,0.4,3.7
64,0,0,0,10,0,3,0,0.6000000000000001,3.7
65,1,0,0,10,0,3,0,0.6000000000000001,3.7
66,1,0,0,10,2,3,0,0.6000000000000001,3.9
67,1,0,0,10,1,3,0,0.6000000000000001,4.1
68,1,1,0,10,0,3,0,0.6000000000000001,4.2
69,1,1,0,10,2,3,0,0.6000000000000001,4.4
70,1,1,0,10,2,3,0,0.6000000000000001,4.6
